"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000003402.19",1745,3201,2219,2908,2951,6274,1594,4501
"ENSG00000003436.15",4815,4577,6430,3512,8114,5553,3773,3682
"ENSG00000003509.15",300,287,362,196,410,424,259,258
"ENSG00000003756.16",3278,2344,3737,1818,3667,3576,2745,2847
"ENSG00000003987.13",21,30,28,36,24,56,16,33
"ENSG00000003989.17",48,56,12,3,51,101,18,46
"ENSG00000004059.10",1510,1856,1549,1160,1732,2679,1410,1868
"ENSG00000004139.13",293,333,354,197,356,353,318,243
"ENSG00000004142.11",1503,1561,1621,966,1753,2309,1140,1270
"ENSG00000004399.12",4101,4297,3680,1671,5437,6068,2748,2855
"ENSG00000004455.16",1223,1133,1490,779,1494,2262,1022,943
"ENSG00000004468.12",3,2,2,1,4,3,3,3
"ENSG00000004478.7",639,583,700,372,805,856,536,517
"ENSG00000004487.15",1413,997,1505,739,1727,1626,1280,1055
"ENSG00000004534.14",1204,1036,1858,921,1736,1724,1176,1021
"ENSG00000004660.14",98,57,60,36,89,81,156,67
"ENSG00000004700.15",1391,1664,1682,1164,1322,2006,1213,1698
"ENSG00000004766.15",494,419,564,348,627,704,442,444
"ENSG00000004776.12",14082,12653,14087,8073,11488,10461,16012,12706
"ENSG00000004777.18",131,112,137,56,89,76,109,70
"ENSG00000004779.9",330,336,490,259,418,577,298,326
"ENSG00000004799.7",82,792,131,1121,237,489,628,3245
"ENSG00000004809.13",2,2,3,2,1,1,0,0
"ENSG00000004838.13",18,12,24,9,14,19,19,8
"ENSG00000004846.16",23,6,73,12,9,10,26,7
"ENSG00000004848.7",1,1,0,0,0,0,0,2
"ENSG00000004864.13",140,116,129,92,222,284,147,128
"ENSG00000004866.20",558,329,920,306,644,614,492,373
"ENSG00000004897.11",1684,1481,1909,1201,1968,2388,1472,1544
"ENSG00000004939.13",3,4,9,1,9,8,3,1
"ENSG00000004961.14",446,335,533,284,658,596,356,400
"ENSG00000004975.11",1376,1011,1077,526,1245,1072,1039,854
"ENSG00000005007.12",2183,2282,2455,1536,2354,3343,2001,2535
"ENSG00000005020.12",840,783,721,556,626,828,770,909
"ENSG00000005022.5",1564,1250,1541,837,1509,1663,1120,1166
"ENSG00000005059.15",213,199,250,179,194,206,214,238
"ENSG00000005073.5",1,0,1,0,1,1,0,0
"ENSG00000005075.15",605,666,711,361,707,958,467,481
"ENSG00000005100.12",444,454,508,376,542,720,403,654
"ENSG00000005102.12",1,0,0,0,3,0,0,0
"ENSG00000005108.15",10,7,5,5,8,18,13,12
"ENSG00000005156.11",317,215,353,121,468,531,258,189
"ENSG00000005175.9",374,340,262,136,546,507,375,326
"ENSG00000005187.11",21,23,26,18,28,18,27,21
"ENSG00000005189.19",84,66,94,61,92,55,94,76
"ENSG00000005194.14",409,414,554,354,533,687,353,428
"ENSG00000005206.16",693,602,796,434,776,1092,601,650
"ENSG00000005238.19",812,635,850,401,986,956,592,629
"ENSG00000005243.9",1123,899,1293,736,946,1047,1012,930
"ENSG00000005249.12",225,244,282,320,291,391,212,417
"ENSG00000005302.17",488,539,504,325,513,695,405,383
"ENSG00000005339.14",2684,1952,3174,1519,3250,4014,2416,2595
"ENSG00000005379.15",185,155,121,87,172,310,121,134
"ENSG00000005381.7",4,10,9,1,0,3,6,3
"ENSG00000005421.8",0,0,1,0,1,0,0,0
"ENSG00000005436.13",262,240,312,211,368,485,268,301
"ENSG00000005448.16",231,203,270,154,235,432,167,251
"ENSG00000005469.11",501,388,307,174,634,514,512,473
"ENSG00000005471.15",62,16,56,17,20,18,52,21
"ENSG00000005483.20",1852,1609,1866,1194,2385,2797,1683,1967
"ENSG00000005486.16",768,610,1113,574,1178,1427,774,682
"ENSG00000005513.9",10,2,6,0,5,3,4,7
"ENSG00000005700.14",1071,829,1519,797,1323,1702,1155,1165
"ENSG00000005801.16",204,179,303,137,347,293,189,155
"ENSG00000005810.17",3110,2400,3124,1829,3473,4282,2562,2670
"ENSG00000005812.10",1403,1418,1415,1337,1145,1859,1206,1717
"ENSG00000005844.17",4,0,3,2,3,2,1,3
"ENSG00000005882.11",1049,938,1223,679,1308,1230,1050,1167
"ENSG00000005884.17",721,663,1591,1123,1337,2663,1225,1486
"ENSG00000005889.15",690,601,762,473,871,1109,936,1039
"ENSG00000005893.15",5092,4485,6159,3814,5537,6828,4679,5158
"ENSG00000005961.17",6,10,10,3,6,5,13,10
"ENSG00000005981.12",3,3,5,2,6,5,14,4
"ENSG00000006007.11",2285,2129,2950,2039,3368,4188,2045,2461
"ENSG00000006015.17",531,470,419,193,265,381,421,384
"ENSG00000006016.10",144,107,110,86,88,183,253,267
"ENSG00000006025.11",229,132,278,77,186,93,207,104
"ENSG00000006042.11",3031,2447,3717,2120,3927,4703,2989,3078
"ENSG00000006047.12",0,1,1,1,1,0,3,0
"ENSG00000006062.14",342,276,361,103,379,233,265,147
"ENSG00000006116.3",0,0,1,0,2,0,0,1
"ENSG00000006118.14",537,352,607,268,762,631,389,255
"ENSG00000006125.17",7158,5388,7739,5101,8069,9367,5577,6673
"ENSG00000006128.11",0,4,1,0,0,0,0,0
"ENSG00000006194.9",563,427,583,413,664,834,496,491
"ENSG00000006210.6",10,15,4,9,7,26,19,36
"ENSG00000006282.20",1777,1342,1354,730,1644,1892,1388,1351
"ENSG00000006283.17",115,46,45,5,161,81,82,25
"ENSG00000006327.13",553,357,700,266,740,1429,628,398
"ENSG00000006377.10",0,0,0,1,0,0,1,0
"ENSG00000006432.15",5,6,7,5,16,8,3,2
"ENSG00000006451.7",1806,928,1152,549,1595,1165,1115,807
"ENSG00000006453.13",192,134,298,143,297,297,218,187
"ENSG00000006459.10",426,332,339,291,461,374,435,501
"ENSG00000006468.13",217,96,212,119,174,235,317,265
"ENSG00000006530.15",341,312,386,243,476,537,294,294
"ENSG00000006534.15",876,1125,1389,861,1538,2603,539,855
"ENSG00000006555.10",6,2,5,2,1,7,4,2
"ENSG00000006576.16",933,659,1546,690,1352,1151,1463,1027
"ENSG00000006606.8",3,4,7,1,7,10,2,2
"ENSG00000006607.13",707,804,1011,875,734,1556,817,1228
"ENSG00000006625.17",208,191,213,97,281,335,165,134
"ENSG00000006634.7",95,76,105,50,110,102,96,74
"ENSG00000006638.11",83,45,115,40,74,48,62,48
"ENSG00000006652.13",897,833,1060,596,1590,1767,1181,1102
"ENSG00000006695.10",164,147,215,131,204,342,136,170
"ENSG00000006704.10",317,228,351,175,335,276,298,334
"ENSG00000006712.14",1000,879,1518,726,1587,1483,1071,956
"ENSG00000006715.15",2036,1579,2632,1575,2780,3174,2164,2116
"ENSG00000006740.16",44,32,36,22,46,47,57,64
"ENSG00000006744.18",920,949,1069,617,1102,1343,694,930
"ENSG00000006747.14",7,12,10,3,16,30,14,15
"ENSG00000006756.15",482,373,603,367,638,707,558,698
"ENSG00000006757.11",127,146,186,91,220,235,152,158
"ENSG00000006788.13",5,37,0,1,5,18,0,21
"ENSG00000006831.9",1068,1036,1189,858,1187,1603,884,1096
"ENSG00000006837.11",65,54,84,63,107,86,76,35
"ENSG00000007001.12",1,2,2,0,3,0,0,2
"ENSG00000007038.10",1,0,5,2,0,1,2,4
"ENSG00000007047.14",755,691,849,562,997,1145,710,816
"ENSG00000007062.11",1,2,4,1,4,2,0,1
"ENSG00000007080.10",633,712,706,400,803,1187,486,599
"ENSG00000007168.12",3833,3572,4510,2878,4572,5724,3421,3851
"ENSG00000007171.16",0,2,0,0,3,2,5,1
"ENSG00000007174.17",0,2,1,3,2,3,1,1
"ENSG00000007202.14",6578,5257,8025,4438,7699,10336,5813,6002
"ENSG00000007237.18",413,121,314,44,282,151,1353,742
"ENSG00000007255.10",131,149,117,115,139,177,114,99
"ENSG00000007264.14",2,3,4,1,1,2,3,4
"ENSG00000007312.12",1,2,0,4,5,0,1,2
"ENSG00000007314.12",0,1,2,1,1,0,1,0
"ENSG00000007341.18",216,206,271,141,347,499,306,357
"ENSG00000007372.21",26,20,27,12,30,30,32,25
"ENSG00000007376.7",291,283,231,126,321,411,225,260
"ENSG00000007384.15",1972,1862,1972,1001,1934,2508,1717,1986
"ENSG00000007392.16",778,599,822,425,855,840,637,616
"ENSG00000007402.11",18,13,14,24,15,11,15,37
"ENSG00000007516.13",4,8,9,5,13,15,6,11
"ENSG00000007520.3",637,604,614,336,612,915,511,558
"ENSG00000007541.16",729,618,692,373,642,1009,566,725
"ENSG00000007545.15",636,590,675,394,735,868,582,604
"ENSG00000007866.19",1485,2083,1695,1387,1242,2210,1114,1778
"ENSG00000007923.15",907,880,1107,630,1256,1585,845,869
"ENSG00000007933.12",773,800,2192,1595,230,348,282,286
"ENSG00000007944.14",372,249,528,196,526,455,324,239
"ENSG00000007952.17",10,11,8,7,12,16,5,9
"ENSG00000007968.6",5,9,6,5,2,5,4,3
"ENSG00000008018.8",1669,1474,1789,1097,1630,1974,1339,1383
"ENSG00000008056.13",7,23,24,15,15,24,13,22
"ENSG00000008083.13",274,259,289,221,310,548,234,372
"ENSG00000008086.11",363,338,433,182,461,575,327,323
"ENSG00000008118.9",3,4,9,2,9,4,6,12
"ENSG00000008128.22",464,514,552,286,313,314,546,740
"ENSG00000008130.15",1295,1885,1444,1466,1483,2433,1126,2502
"ENSG00000008196.12",1,1,1,1,0,0,0,0
"ENSG00000008226.19",9,4,8,3,6,5,6,18
"ENSG00000008256.15",1826,3073,3048,3748,2788,8690,2125,5352
"ENSG00000008277.14",17,14,23,14,21,17,23,15
"ENSG00000008282.8",1891,1790,1983,1662,1901,2716,1850,2168
"ENSG00000008283.15",565,482,615,341,638,842,444,426
"ENSG00000008294.20",2807,2276,3539,2010,3266,3891,2949,2981
"ENSG00000008300.16",64,84,91,51,124,180,72,92
"ENSG00000008311.14",473,948,553,641,437,1009,449,1098
"ENSG00000008323.15",7,10,9,3,12,18,4,6
"ENSG00000008324.11",112,157,84,104,106,150,112,142
"ENSG00000008382.15",167,118,172,91,204,273,132,162
"ENSG00000008394.12",2738,2849,2964,1974,7202,8139,2518,2681
"ENSG00000008405.11",263,280,289,169,292,434,330,273
"ENSG00000008438.4",0,6,1,1,1,1,0,3
"ENSG00000008441.16",13888,9709,13655,6219,12287,11789,12327,10074
"ENSG00000008513.14",2067,1210,1770,597,2648,2317,1629,1097
"ENSG00000008516.16",7,1,3,0,5,9,6,5
"ENSG00000008517.16",167,80,205,66,68,61,179,108
"ENSG00000008710.19",4725,5062,5079,3208,4155,8839,4448,7379
"ENSG00000008735.13",13,20,23,16,19,16,17,27
"ENSG00000008838.19",1229,1006,1331,682,1441,1723,1023,1134
"ENSG00000008853.16",648,731,743,620,693,1211,700,1275
"ENSG00000008869.11",748,646,778,473,797,955,676,742
"ENSG00000008952.16",4523,4475,5450,3640,5787,8157,4947,5262
"ENSG00000008988.9",13008,11699,13257,7107,11658,13473,9657,9439
"ENSG00000009307.15",15008,12976,20016,11711,20035,22256,13597,15112
"ENSG00000009335.17",2052,2073,2233,1530,2440,3276,1768,2040
"ENSG00000009413.15",5571,10833,5851,8207,6318,11400,5211,13351
"ENSG00000009694.13",21,8,2,3,5,1,1,1
"ENSG00000009724.16",38,29,56,21,41,38,44,32
"ENSG00000009765.14",2,6,4,1,2,5,5,8
"ENSG00000009780.15",156,205,157,167,142,203,141,203
"ENSG00000009790.14",3,5,8,3,7,2,3,2
"ENSG00000009830.11",433,421,450,304,513,618,378,366
"ENSG00000009844.15",846,701,1075,560,1108,1254,766,841
"ENSG00000009950.15",10,13,4,2,3,2,3,5
"ENSG00000009954.10",2812,2629,3391,1982,3807,3896,2861,2801
"ENSG00000010017.12",1524,2309,1860,1958,2063,3010,1668,3185
"ENSG00000010030.13",32,15,23,10,18,12,19,9
"ENSG00000010072.15",173,147,204,124,210,224,168,156
"ENSG00000010165.19",950,943,1156,611,1028,1121,811,802
"ENSG00000010219.13",259,197,309,141,322,350,208,183
"ENSG00000010244.18",2779,2605,2937,1721,3517,4455,2009,2292
"ENSG00000010256.10",1653,1803,1670,1350,1981,3233,1253,1983
"ENSG00000010270.13",880,811,842,509,966,1046,597,698
"ENSG00000010278.12",3100,3488,3758,3609,2642,4975,3543,5156
"ENSG00000010292.12",1404,1080,1412,858,1340,1561,1140,1363
"ENSG00000010295.19",1429,1229,1722,826,937,1035,1204,1300
"ENSG00000010310.8",18,8,35,9,24,16,24,15
"ENSG00000010318.20",69,59,83,58,81,65,80,88
"ENSG00000010319.6",1,0,2,0,0,2,0,1
"ENSG00000010322.15",2638,1900,3296,1490,3742,3738,2455,2236
"ENSG00000010327.10",0,0,1,1,0,1,1,1
"ENSG00000010361.13",257,238,285,165,204,248,213,311
"ENSG00000010379.15",0,1,2,1,0,0,0,0
"ENSG00000010404.17",2317,1993,3525,2254,3400,4804,2759,3329
"ENSG00000010438.16",6,10,12,5,18,40,32,28
"ENSG00000010539.11",138,123,158,93,169,202,129,113
"ENSG00000010610.9",31,23,95,49,135,136,26,17
"ENSG00000010626.14",157,107,205,107,175,184,158,118
"ENSG00000010671.15",0,0,0,0,2,2,0,0
"ENSG00000010704.18",508,314,587,332,492,515,470,495
"ENSG00000010803.16",759,690,861,523,956,1040,701,717
"ENSG00000010810.17",1690,1677,1656,933,2492,2861,1325,1467
"ENSG00000010818.9",1757,1169,1916,785,2129,2179,1471,1192
"ENSG00000010932.16",11,18,78,59,0,18,20,22
"ENSG00000011007.12",1415,1325,1386,975,1490,1922,1032,1256
"ENSG00000011009.10",455,480,491,295,515,758,393,466
"ENSG00000011021.21",764,641,672,425,711,900,622,783
"ENSG00000011028.13",18378,13572,24158,10897,18167,19864,17080,15585
"ENSG00000011052.21",148,69,154,1,153,157,160,89
"ENSG00000011083.8",0,0,1,1,1,0,0,0
"ENSG00000011105.12",3104,2952,3340,2424,3346,5330,3902,4850
"ENSG00000011114.14",1289,1110,1250,811,1422,1766,1085,1121
"ENSG00000011132.11",208,218,252,131,261,306,185,210
"ENSG00000011143.16",203,153,223,99,170,159,153,139
"ENSG00000011198.7",593,1420,823,1024,1249,1932,572,1692
"ENSG00000011201.11",1,0,2,0,0,1,0,0
"ENSG00000011243.17",731,684,876,420,1055,927,666,668
"ENSG00000011258.15",423,275,411,225,480,411,420,357
"ENSG00000011260.13",479,469,376,292,427,562,323,392
"ENSG00000011275.18",1697,1488,1908,1062,2157,2637,1567,1644
"ENSG00000011295.15",411,377,454,341,464,576,383,394
"ENSG00000011304.19",3627,3879,3168,2425,3613,5595,3121,3974
"ENSG00000011332.19",14,11,25,11,16,28,6,10
"ENSG00000011347.9",185,101,166,60,234,148,247,98
"ENSG00000011376.9",563,485,444,272,458,611,354,333
"ENSG00000011405.13",1135,1275,1554,1108,1842,2721,1232,1689
"ENSG00000011422.11",395,350,503,237,344,554,405,399
"ENSG00000011426.10",267,241,267,153,283,322,212,200
"ENSG00000011451.17",1521,1653,1580,892,1643,2082,1361,1375
"ENSG00000011454.16",1869,1808,2395,2256,2332,3735,1861,2519
"ENSG00000011465.16",221041,193718,424762,215149,294598,314256,380795,375387
"ENSG00000011478.11",101,132,137,136,130,263,113,163
"ENSG00000011485.14",833,1177,958,715,1078,1753,710,1152
"ENSG00000011523.13",739,697,1015,567,1022,1255,682,964
"ENSG00000011566.14",892,1200,1300,1203,1361,3041,857,1743
"ENSG00000011590.13",3,6,7,1,1,5,0,0
"ENSG00000011600.11",0,1,4,3,0,0,3,2
"ENSG00000011638.10",934,781,822,665,840,959,872,976
"ENSG00000011677.12",0,1,0,0,0,2,0,0
"ENSG00000012048.20",327,102,426,97,337,175,272,154
"ENSG00000012061.15",1056,1020,1408,686,1380,1914,883,948
"ENSG00000012124.16",1,1,0,0,3,1,0,1
"ENSG00000012171.19",1833,962,2273,654,1371,1052,1395,968
"ENSG00000012174.11",722,620,832,521,832,1157,658,723
"ENSG00000012211.12",126,138,128,69,140,187,108,132
"ENSG00000012223.12",0,0,0,1,4,4,0,0
"ENSG00000012232.8",1147,1003,1414,900,1610,2007,1125,1305
"ENSG00000012660.13",2063,1827,2603,2246,2288,3873,1878,2672
"ENSG00000012779.10",0,2,0,0,0,0,0,0
"ENSG00000012817.15",1093,999,1259,631,1394,1426,1,4
"ENSG00000012822.15",4722,5391,6877,5035,6487,8780,4752,8099
"ENSG00000012963.14",698,630,858,474,696,647,725,656
"ENSG00000012983.11",1940,1531,2535,1312,2776,3102,1900,1861
"ENSG00000013016.15",1986,3280,1795,982,1794,3266,1178,1506
"ENSG00000013275.7",1010,991,1000,671,1105,1433,751,781
"ENSG00000013288.8",3077,2501,4145,2396,4124,5168,2234,2868
"ENSG00000013293.5",314,31,492,65,636,94,628,89
"ENSG00000013297.10",6568,1547,5441,1421,5229,1217,5398,1777
"ENSG00000013306.15",1013,970,1111,571,1338,1533,828,869
"ENSG00000013364.18",9365,8596,9301,5742,8559,10887,7279,8745
"ENSG00000013374.15",1212,1249,1740,1100,1806,2143,1214,1517
"ENSG00000013375.15",1364,949,1662,687,1849,2113,1334,1058
"ENSG00000013392.7",224,138,277,149,306,300,276,229
"ENSG00000013441.15",2540,2616,2414,2126,3291,3420,2234,3009
"ENSG00000013503.9",260,269,339,185,334,422,222,235
"ENSG00000013523.9",379,327,475,210,525,459,367,317
"ENSG00000013561.17",841,899,1030,804,1062,1324,710,995
"ENSG00000013563.13",400,350,740,440,856,967,414,421
"ENSG00000013573.16",362,226,288,89,265,232,259,206
"ENSG00000013583.8",1244,1277,1507,1278,1648,2206,1043,1652
"ENSG00000013588.7",549,437,957,555,894,650,403,481
"ENSG00000013619.13",801,1126,1213,821,1325,1698,883,1191
"ENSG00000013725.14",5,7,5,4,7,2,6,5
"ENSG00000013810.18",96,124,127,59,80,115,76,83
"ENSG00000014123.9",932,707,992,618,1124,1129,872,846
"ENSG00000014138.8",191,142,220,99,149,174,171,154
"ENSG00000014164.6",587,488,582,300,534,709,261,304
"ENSG00000014216.15",3293,3600,4031,2473,3489,5277,2808,3577
"ENSG00000014257.15",15,11,23,7,20,30,31,6
"ENSG00000014641.17",1625,1303,1869,1056,1831,2032,1273,1273
"ENSG00000014824.13",1174,1001,1563,1006,1630,2226,1082,1274
"ENSG00000014914.20",589,353,810,398,672,507,692,558
"ENSG00000014919.12",676,542,742,431,752,811,513,505
"ENSG00000015133.18",1,2,2,1,3,2,3,0
"ENSG00000015153.14",202,281,239,206,275,325,188,222
"ENSG00000015171.19",2102,1851,2576,1486,2768,3204,2032,1950
"ENSG00000015285.10",6,6,11,1,9,5,4,1
"ENSG00000015413.9",0,2,0,1,0,7,0,3
"ENSG00000015475.18",277,262,367,217,534,611,254,247
"ENSG00000015479.18",5616,3670,6600,3234,7602,7107,4869,4691
"ENSG00000015520.14",21,4,24,1,69,17,19,1
"ENSG00000015532.9",718,610,768,421,790,1058,565,637
"ENSG00000015568.12",63,218,303,55,108,702,63,34
"ENSG00000015592.16",0,2,0,1,1,4,1,1
"ENSG00000015676.17",1751,1527,1833,1191,1746,2012,1478,1497
"ENSG00000016391.10",180,29,192,36,83,35,241,73
"ENSG00000016402.13",17,8,12,3,5,1,21,12
"ENSG00000016490.15",0,1,0,0,0,0,2,0
"ENSG00000016864.18",1566,1467,1868,1235,1488,1746,1624,1707
"ENSG00000017260.19",2932,2161,3260,1925,3385,3558,3209,2796
"ENSG00000017427.15",1054,861,1321,670,466,251,1029,679
"ENSG00000017483.14",759,345,628,112,555,532,568,260
"ENSG00000017797.12",2959,3674,2977,2474,3512,5662,2386,4162
"ENSG00000018189.12",1110,789,1165,595,1410,1209,933,773
"ENSG00000018236.14",52,48,35,41,43,61,43,49
"ENSG00000018280.16",15,10,10,8,14,19,11,12
"ENSG00000018408.14",3170,2778,2885,1878,3374,4338,2222,2451
"ENSG00000018510.13",754,730,896,503,911,1324,714,812
"ENSG00000018610.13",301,237,338,184,334,357,257,247
"ENSG00000018625.14",336,174,2912,849,240,162,527,249
"ENSG00000018699.11",246,209,286,194,324,402,297,257
"ENSG00000018869.16",53,59,72,46,78,80,55,41
"ENSG00000019102.11",1,0,3,7,16,28,3,3
"ENSG00000019144.18",3260,4321,3809,2330,3536,5047,2657,3747
"ENSG00000019169.10",0,2,0,0,0,0,0,0
"ENSG00000019186.9",70,3,9,0,12,2,20,0
"ENSG00000019485.13",293,341,311,206,260,346,255,456
"ENSG00000019505.7",1,0,2,2,2,2,0,0
"ENSG00000019549.9",3329,5350,2867,1598,3884,2996,2241,2300
"ENSG00000019582.14",25,17,103,37,33,25,76,50
"ENSG00000019991.15",1551,925,1327,407,2464,1225,1556,709
"ENSG00000019995.6",1246,2516,1503,1784,1931,3861,1196,2429
"ENSG00000020129.15",1485,980,1326,475,1433,1317,1142,791
"ENSG00000020181.17",11121,6624,11806,5225,11632,13834,11491,9108
"ENSG00000020219.9",0,0,0,0,1,0,1,0
"ENSG00000020256.19",333,292,448,162,421,459,303,243
"ENSG00000020426.10",211,174,305,171,318,402,181,215
"ENSG00000020577.13",2110,3801,1937,2705,2058,5411,1944,5072
"ENSG00000020633.18",126,156,97,69,6,3,118,174
"ENSG00000020922.12",513,451,571,385,577,748,497,561
"ENSG00000021300.13",18,6,18,11,22,19,13,14
"ENSG00000021355.12",533,653,624,514,581,1022,402,714
"ENSG00000021461.16",1,1,2,1,0,0,1,3
"ENSG00000021488.12",5,2,3,2,8,1,1,1
"ENSG00000021574.11",510,483,565,380,525,561,481,562
"ENSG00000021645.18",9,24,48,64,16,43,7,79
"ENSG00000021762.19",1441,1694,1187,782,1383,2292,1023,1523
"ENSG00000021776.10",1286,1229,1429,972,1486,2111,1085,1449
"ENSG00000021826.14",405,264,473,218,306,306,355,310
"ENSG00000022267.16",7406,8866,11507,8602,8633,16193,9411,14054
"ENSG00000022277.12",1968,1847,2387,1343,2297,3382,1886,1925
"ENSG00000022355.16",0,0,0,0,2,0,0,1
"ENSG00000022556.15",2,1,3,2,4,5,1,2
"ENSG00000022567.9",138,135,151,105,169,271,133,168
"ENSG00000022840.15",2646,2665,2961,2143,2886,4096,2139,2701
"ENSG00000022976.15",161,100,213,100,169,215,118,141
"ENSG00000023041.11",632,667,734,476,755,957,560,691
"ENSG00000023171.16",77,24,96,32,201,159,92,72
"ENSG00000023191.16",5663,5466,6096,3265,4017,5929,4040,4955
"ENSG00000023228.13",1711,1605,1932,1209,2128,2535,1442,1782
"ENSG00000023287.12",2586,2413,2957,2003,3676,3771,2468,3280
"ENSG00000023318.7",1330,1244,1495,1043,1617,2274,1173,1450
"ENSG00000023330.14",1036,823,1167,533,1539,1450,856,732
"ENSG00000023445.13",64,82,50,33,45,50,44,97
"ENSG00000023516.8",1918,1528,2137,1187,2319,2804,1859,1827
"ENSG00000023572.8",96,107,98,83,92,130,89,79
"ENSG00000023608.4",229,330,419,357,421,828,243,399
"ENSG00000023697.12",476,520,491,365,494,694,388,503
"ENSG00000023734.10",1638,1979,2195,1548,2488,3235,1564,1909
"ENSG00000023839.10",18,20,9,9,14,14,14,23
"ENSG00000023892.10",4,2,6,3,13,8,3,6
"ENSG00000023902.13",644,747,632,497,841,1384,508,650
"ENSG00000023909.9",1003,1626,1306,1843,1369,4533,1237,2887
"ENSG00000024048.10",1323,1136,1570,970,1464,1887,1174,1483
"ENSG00000024422.11",10815,11308,12834,7589,14185,19125,9014,10609
"ENSG00000024526.16",30,25,17,10,18,14,17,16
"ENSG00000024862.17",207,228,288,187,257,243,169,238
"ENSG00000025039.14",4,14,7,3,7,9,5,7
"ENSG00000025156.12",306,217,317,147,334,301,221,231
"ENSG00000025293.16",1632,1433,1684,951,1927,1993,1427,1281
"ENSG00000025423.11",235,68,627,58,91,40,248,54
"ENSG00000025434.18",371,459,479,279,456,472,305,393
"ENSG00000025708.13",136,391,111,117,139,445,75,207
"ENSG00000025770.18",429,367,415,196,365,461,305,267
"ENSG00000025772.7",835,566,944,387,1564,1094,629,516
"ENSG00000025796.13",3034,2485,4645,2586,4551,5319,3384,3288
"ENSG00000025800.13",1928,1809,2388,1589,2701,3336,1766,2035
"ENSG00000026025.15",97825,63591,121036,58678,119591,87003,107464,86646
"ENSG00000026036.21",317,173,371,59,130,286,200,116
"ENSG00000026103.21",1047,908,1429,694,1440,1879,1045,1005
"ENSG00000026297.15",259,151,310,116,289,277,229,205
"ENSG00000026508.17",21166,13554,28085,16204,26866,29509,25431,22290
"ENSG00000026559.13",34,21,14,5,43,41,30,11
"ENSG00000026652.13",409,311,304,163,511,495,293,307
"ENSG00000026751.16",0,1,2,2,1,0,0,1
"ENSG00000026950.16",1009,448,1100,372,1118,712,698,362
"ENSG00000027001.9",534,361,770,322,673,782,672,467
"ENSG00000027075.14",28,49,80,65,94,222,81,226
"ENSG00000027644.4",1,0,1,0,2,1,0,0
"ENSG00000027697.13",1334,1588,1352,1220,1596,1826,1087,1635
"ENSG00000027847.13",490,379,571,241,513,723,403,355
"ENSG00000027869.11",1,0,1,0,0,1,0,0
"ENSG00000028116.16",225,233,288,183,336,399,261,300
"ENSG00000028137.18",399,574,603,481,290,1014,343,554
"ENSG00000028203.17",1007,866,1685,988,1374,1537,1096,1223
"ENSG00000028277.21",71,15,34,4,106,33,34,10
"ENSG00000028310.17",532,490,717,365,705,966,522,522
"ENSG00000028528.14",3492,2786,4343,2382,4205,4760,3292,3302
