year,infant_mortality,life_expectancy,fertility,population,continent
1960,NA,63.86,3.52,487416,Europe
1960,145,49.64,7.07,12328534,Africa
1960,183,38.17,6.6,7493278,Africa
1960,102,47.07,6.15,602545,Africa
1960,219.6,39.8,5.99,10056945,Asia
1960,16.4,73.35,3.12,11418652,Europe
1960,NA,56.38,5.22,78058,Oceania
1960,22.6,71.28,3.54,2371999,Oceania
1960,134,50.69,7.34,1774696,Americas
1960,NA,36.82,7.05,3395212,Africa
1960,165,40.39,6.35,45211614,Africa
1960,18.4,73.66,2.88,3582016,Europe
1960,164,44.64,7.25,551737,Asia
1960,192,46.79,6.6,44911810,Asia
1960,66.9,61.62,5.87,1132924,Americas
1960,134.6,38.6,6.28,1966957,Oceania
1960,62.6,66.35,6.5,1902871,Americas
1960,135.9,48.95,6.88,10061519,Americas
1960,67.9,58.82,7.15,26273023,Asia
1960,57.8,67.92,2.97,29716363,Europe
1960,84.6,64.23,3.16,8875311,Europe
1960,NA,68.58,4.66,2355570,Americas
1960,94,60.82,6.97,47309,Asia
1960,69,65.92,2.32,18613835,Europe
1960,NA,68.61,2.56,119860289,Europe
1960,127.9,43.07,8.19,2933424,Africa
1960,NA,56.97,6.97,89901,Americas
1960,NA,57.85,7.22,80948,Americas
1960,92,51.45,7.65,108645,Oceania
1960,150,47.62,7.22,4086539,Asia
1960,126.3,38.46,6.95,3177560,Africa
1960,NA,63.33,2.63,7556730,Europe
1960,73.6,60.42,5.27,41538,Africa
1960,223.6,36.07,6.03,2181701,Africa
1960,35.5,65.02,5.82,1633718,Asia
1960,33,70.42,3.09,4137224,Europe
1960,37,68.62,2.32,1586632,Europe
1960,131.8,50.55,6.39,117869,Oceania
1960,NA,49.01,6.17,17396367,Africa
1960,47.7,69.23,2.77,30450994,Europe
1960,72.7,59.76,5.54,9896172,Asia
1960,107.4,49.54,6.69,7527450,Africa
1960,NA,60.58,6.61,289972,Americas
1960,141.7,44.78,6.72,349233,Africa
1960,16.3,73.01,2.2,7479602,Europe
1960,21.6,71.46,2.52,5296120,Europe
1960,121.8,52.87,7.47,4592777,Asia
1960,NA,57.1,6.24,2064035,Asia
1960,144.3,45.57,6.81,10074490,Africa
1960,102.2,55.46,6.15,27397178,Asia
1960,NA,37.74,6.37,499525,Asia
1960,162.4,41.06,6.52,1580513,Africa
1960,NA,61.2,7.36,61600,Oceania
1960,56.6,63.07,5.26,848481,Americas
1960,173.4,43.2,7.04,4176266,Africa
1960,166,46.91,6.3,27553280,Asia
1960,NA,54.91,6.42,1593501,Asia
1960,132.3,45.27,7,6788211,Africa
1960,NA,70.88,2.42,42662150,Europe
1960,137.3,51.85,6.93,92612,Asia
1960,22.9,71.02,2.69,52410496,Europe
1960,25.9,69.91,3.67,186176524,Americas
1960,57.7,67.95,2.88,2538651,Americas
1960,NA,59.35,6.71,8789492,Asia
1960,106.7,45.97,7.2,63701,Oceania
1960,59.9,60.08,6.62,8146845,Americas
1960,NA,50.82,7.69,1069399,Asia
1960,75.6,58.52,6.35,32670623,Asia
1960,225,32.64,7.29,5166311,Asia
1960,123.2,48.34,7.02,3049586,Africa
1960,92.6,53.11,7.16,3752390,Africa
1961,110.8,63.92,6.08,1685901,Europe
1961,148.1,48.02,7.65,11404859,Africa
1961,NA,36.53,7.35,5367287,Africa
1961,NA,63.46,4.39,55403,Americas
1961,59.73,65.53,3.1,20953079,Americas
1961,NA,67.33,4.51,1934239,Asia
1961,NA,66.07,4.66,55435,Americas
1961,20,71.14,3.55,10494911,Oceania
1961,35,69.72,2.79,7105654,Europe
1961,NA,61.76,5.6,4030130,Asia
1961,NA,62.29,4.5,115108,Americas
1961,123.8,52.99,7.13,167924,Asia
1961,171.7,46.73,6.76,49593610,Asia
1961,65,62.31,4.31,231674,Americas
1961,NA,72.3,2.73,8274486,Europe
1961,28.1,70.46,2.63,9200393,Europe
1961,NA,60.64,6.48,94701,Americas
1961,183.9,38.8,6.34,2466002,Africa
1961,NA,36.49,6.67,229297,Asia
1961,170.5,44.14,6.67,3764815,Americas
1961,NA,63.34,3.95,3277096,Europe
1961,112.2,50.7,6.63,536576,Africa
1961,126.1,55.78,6.19,74706888,Americas
1961,NA,63.11,6.49,85687,Asia
1961,NA,70.26,2.23,7935058,Europe
1961,159.4,35.72,6.32,4894578,Africa
1961,144.8,40.85,7,2840375,Africa
1961,NA,42.47,6.96,5872247,Asia
1961,163.3,44,5.71,5474509,Africa
1961,27,71.22,3.85,18295922,Americas
1961,NA,50.27,6.92,205958,Africa
1961,162.9,37.89,5.87,1529229,Africa
1961,NA,41.35,6.27,3061423,Africa
1961,121.1,57.23,5.54,7873504,Americas
1961,161,32.95,3.28,654625069,Asia
1961,87.6,58.63,6.8,16982313,Americas
1961,NA,44.47,6.85,191828,Africa
1961,NA,44.25,6.02,15637715,Africa
1961,108.4,48.88,5.92,1039966,Africa
1961,83.56,62.56,7.3,1381920,Americas
1961,203,38.74,7.43,3602075,Africa
1961,NA,65.26,2.3,4222502,Europe
1961,NA,64.47,4.36,7289828,Americas
1961,NA,70.06,3.47,576395,Asia
1961,NA,70.77,2.27,9626727,Europe
1961,20.8,72.55,2.55,4613769,Europe
1961,NA,46.28,6.49,88499,Africa
1961,101,54.17,7.49,3406299,Americas
1961,118.2,54.77,6.67,4676858,Americas
1961,202.7,48.89,6.61,27810001,Africa
1961,123.9,52.77,6.75,2843246,Americas
1961,NA,38.04,5.52,255100,Africa
1961,NA,39.35,6.87,1441297,Africa
1961,NA,69.74,1.95,1230521,Europe
1961,NA,38.35,6.88,22671131,Africa
1961,52.1,56.12,6.28,407152,Oceania
1961,20.6,69.07,2.65,4463432,Europe
1961,22.4,71.07,2.8,46471083,Europe
1961,NA,56.71,5.58,80706,Oceania
1961,NA,39.15,4.46,504174,Africa
1961,146.1,36.16,5.62,376736,Africa
1961,NA,63.9,2.97,4225733,Asia
1961,NA,69.85,2.44,73686490,Europe
1961,123.8,46.8,6.79,6866545,Africa
1961,47.3,68.8,2.22,8366020,Europe
1961,NA,61.85,7.31,32474,Americas
1961,NA,61.05,6.63,91260,Americas
1961,143.3,47.12,6.51,4240084,Americas
1961,210.5,35.95,6.11,3633778,Africa
1961,NA,43.39,5.77,623413,Africa
1961,65.1,59.24,5.58,582034,Americas
1961,191.5,42.68,6.32,3943363,Americas
1961,136.6,48.47,7.45,2069085,Americas
1961,NA,68.01,5.21,3227426,Asia
1961,51,69.06,1.97,10031496,Europe
1961,17.2,73.6,4.07,179106,Europe
1961,162.5,41.99,5.86,458691457,Asia
1961,144.8,45.83,5.66,90138235,Asia
1961,183.85,46.61,6.92,22480420,Asia
1961,124.7,48.11,6.36,7475354,Asia
1961,29.2,70.24,3.93,2816832,Europe
1961,NA,68.85,3.84,2174271,Asia
1961,42.7,69.82,2.41,50067464,Europe
1961,59.8,66.57,5.53,1654461,Americas
1961,27.9,68.43,1.98,93357259,Asia
1961,101.9,54.12,7.8,927850,Asia
1961,NA,59.38,4.51,10411040,Asia
1961,114,48.13,8,8361442,Africa
1961,NA,46.24,7.01,42261,Oceania
1961,76.1,53.75,5.99,25808542,Asia
1961,95.2,62.98,7.28,294639,Asia
1961,NA,56.54,5.26,2245062,Asia
1961,NA,42.38,5.96,2169287,Asia
1961,NA,70.6,1.88,2158546,Europe
1961,56.1,63.19,5.72,1864605,Asia
1961,142.3,47.54,5.83,866253,Africa
1961,212.1,35.54,6.43,1144896,Africa
1961,156.1,46.28,7.57,1483856,Africa
1961,NA,70.52,2.5,2807763,Europe
1961,NA,69.49,2.38,317442,Europe
1961,NA,65.42,4.76,175135,Asia
1961,NA,61.49,3.67,1507653,Europe
1961,NA,42.54,7.3,5223621,Africa
1961,216.4,38.76,6.95,3700032,Africa
1961,64.2,60.48,6.14,8429369,Asia
1961,NA,38.82,7.08,92327,Asia
1961,231.5,29.83,6.73,5322267,Africa
1961,34.9,68.67,3.38,311702,Europe
1961,131.9,44.62,6.79,883223,Africa
1961,66.3,59.75,6.18,679045,Africa
1961,97.7,57.95,6.78,39394125,Americas
1961,NA,57.18,6.92,45956,Oceania
1961,NA,62.61,3.26,3075927,Europe
1961,NA,50.15,7.17,982180,Asia
1961,NA,64.54,3.42,498128,Europe
1961,142.7,50.11,7.11,12713043,Africa
1961,NA,38.79,6.6,7643290,Africa
1961,NA,47.7,6.17,617282,Africa
1961,216.7,40.26,5.99,10215153,Asia
1961,16.1,73.54,3.22,11576024,Europe
1961,NA,57.06,5.22,80585,Oceania
1961,21.7,71,3.61,2423769,Oceania
1961,132.5,51.53,7.26,1830400,Americas
1961,NA,36.97,7.08,3493636,Africa
1961,NA,41,6.35,46144154,Africa
1961,18,73.67,2.91,3610710,Europe
1961,237.2,45.57,7.25,564895,Asia
1961,184.8,47.73,6.6,45988447,Asia
1961,65.3,62.17,5.85,1167041,Americas
1961,130.7,39.2,6.28,2001048,Oceania
1961,62,66.7,6.49,1953331,Americas
1961,132.6,49.56,6.87,10350239,Americas
1961,65.9,59.17,7.09,27164618,Asia
1961,53,68.04,2.85,30138099,Europe
1961,82.3,62.85,3.18,8899331,Europe
1961,NA,68.8,4.55,2395612,Americas
1961,NA,61.57,6.97,51355,Asia
1961,NA,66.7,2.16,18780105,Europe
1961,NA,68.85,2.46,121390327,Europe
1961,125.3,43.41,8.19,2996091,Africa
1961,NA,57.75,6.93,90913,Americas
1961,NA,58.96,7.16,82144,Americas
1961,NA,52.04,7.65,112121,Oceania
1961,NA,48.22,7.23,4218879,Asia
1961,126,38.63,6.99,3265558,Africa
1961,NA,63.88,2.6,7613356,Europe
1961,72.3,61.03,5.4,42402,Africa
1961,220.5,36.57,6.09,2210169,Africa
1961,32.9,65.41,5.56,1690353,Asia
1961,NA,70.86,3.01,4193035,Europe
1961,NA,68.82,2.33,1596554,Europe
1961,125.4,51.12,6.39,121403,Oceania
1961,NA,49.4,6.14,17850045,Africa
1961,44.4,69.62,2.79,30777097,Europe
1961,69.8,60.18,5.42,10129134,Asia
1961,105.7,50.04,6.71,7749884,Africa
1961,NA,61,6.59,298190,Americas
1961,140.1,45.1,6.73,357522,Africa
1961,16,73.47,2.23,7527081,Europe
1961,21.2,71.79,2.55,5393411,Europe
1961,116,53.43,7.5,4742596,Asia
1961,NA,57.57,6.27,2140413,Asia
1961,143,45.91,6.81,10373380,Africa
1961,99,56.01,6.15,28224208,Asia
1961,NA,38.45,6.38,508311,Asia
1961,159.4,41.74,6.57,1597528,Africa
1961,NA,61.56,7.35,63740,Oceania
1961,54.7,63.68,5.18,865356,Americas
1961,187.5,43.89,7.09,4235936,Africa
1961,161.6,47.71,6.24,28229291,Asia
1961,NA,55.36,6.54,1649914,Asia
1961,129.6,45.91,7.02,7006629,Africa
1961,NA,71.15,2.31,43203635,Europe
1961,130.5,52.89,6.91,100985,Asia
1961,22.5,70.77,2.75,52765864,Europe
1961,25.4,70.32,3.63,189077076,Americas
1961,56.4,68.19,2.89,2571691,Americas
1961,NA,59.8,6.76,9044671,Asia
1961,104.1,46.55,7.12,65708,Oceania
1961,58.1,60.69,6.64,8461684,Americas
1961,NA,51.43,7.8,1096903,Asia
1961,72.6,59.17,6.39,33666768,Asia
1961,269.2,33.58,7.31,5251663,Asia
1961,120.9,48.89,7.07,3142848,Africa
1961,90.1,53.55,7.22,3876638,Africa
1962,106.5,64.84,5.96,1737645,Europe
1962,148.2,48.55,7.65,11690152,Africa
1962,NA,37.08,7.39,5465905,Africa
1962,NA,63.93,4.34,56311,Americas
1962,59.59,65.64,3.09,21287682,Americas
1962,NA,67.82,4.44,2002170,Asia
1962,NA,66.44,4.47,56226,Americas
1962,19.5,70.91,3.43,10691220,Oceania
1962,32.9,69.51,2.8,7151077,Europe
1962,NA,62.2,5.59,4167558,Asia
1962,NA,62.58,4.45,121083,Americas
1962,114.1,54.33,7.17,173107,Asia
1962,167.6,47.28,6.79,51030604,Asia
1962,61.2,62.79,4.27,232584,Americas
1962,NA,71.01,2.7,8356956,Europe
1962,27,70.19,2.63,9261828,Europe
1962,NA,61.2,6.46,97389,Americas
1962,180.6,39.32,6.39,2503232,Africa
1962,NA,37.04,6.67,234703,Asia
1962,167.7,44.5,6.65,3838096,Americas
1962,NA,64.07,3.85,3341809,Europe
1962,109,51.02,6.65,549990,Africa
1962,122.9,56.27,6.14,77007549,Americas
1962,NA,63.67,6.45,89603,Asia
1962,NA,69.55,2.21,8004367,Europe
1962,157.5,36.23,6.34,4960325,Africa
1962,144.6,41.13,7.05,2894510,Africa
1962,NA,42.7,6.96,6026696,Asia
1962,160.5,44.53,5.77,5593768,Africa
1962,26,71.25,3.77,18659663,Americas
1962,NA,50.43,6.95,210866,Africa
1962,160.4,38.36,5.89,1556656,Africa
1962,NA,41.76,6.29,3122357,Africa
1962,116.7,57.63,5.46,8054166,Americas
1962,110,43.29,5.97,665426760,Asia
1962,85.9,59.18,6.78,17500166,Americas
1962,NA,44.89,6.9,194960,Africa
1962,NA,44.61,6.03,16041247,Africa
1962,106.1,49.47,5.97,1067611,Africa
1962,80.64,63.13,7.22,1432583,Americas
1962,197.7,39.46,7.5,3740503,Africa
1962,NA,65.66,2.27,4251421,Europe
1962,NA,65.09,4.51,7450404,Americas
1962,NA,70.38,3.42,577691,Asia
1962,NA,70.04,2.23,9679416,Europe
1962,20.2,72.43,2.54,4649179,Europe
1962,NA,46.79,6.53,94200,Africa
1962,99.6,54.97,7.4,3521276,Americas
1962,115.3,55.42,6.65,4812892,Americas
1962,195.9,49.43,6.57,28560741,Africa
1962,121.6,53.5,6.75,2927861,Americas
1962,NA,38.38,5.53,257940,Africa
1962,NA,39.69,6.84,1476321,Africa
1962,NA,69.93,1.94,1245098,Europe
1962,NA,38.94,6.88,23221331,Africa
1962,50.3,56.54,6.09,421576,Oceania
1962,19.5,68.78,2.66,4494623,Europe
1962,21.3,70.61,2.81,47121575,Europe
1962,NA,57.09,5.5,83654,Oceania
1962,NA,39.56,4.54,509806,Africa
1962,143.8,36.68,5.67,383525,Africa
1962,NA,64.31,2.95,4292101,Asia
1962,NA,70.01,2.47,74238494,Europe
1962,122.7,47.25,6.83,7085463,Africa
1962,46.2,69.14,2.22,8412059,Europe
1962,NA,62.22,7.09,33730,Americas
1962,NA,61.49,6.44,92424,Americas
1962,140.7,47.76,6.49,4356579,Americas
1962,209.1,36.17,6.12,3690960,Africa
1962,NA,43.64,5.67,629973,Africa
1962,62.9,59.41,5.49,600559,Americas
1962,188.3,43.26,6.3,4022596,Americas
1962,132.4,49.21,7.44,2139208,Americas
1962,NA,68.55,5.18,3391625,Asia
1962,49,68,1.92,10064667,Europe
1962,16.9,73.82,3.98,182640,Europe
1962,160.1,42.72,5.84,468054145,Asia
1962,141.2,46.65,5.65,92558006,Asia
1962,176.37,47.22,6.91,23071426,Asia
1962,118.3,49.24,6.51,7674220,Asia
1962,28,70.57,3.98,2821742,Europe
1962,NA,69.13,3.83,2264304,Asia
1962,41,69.21,2.44,50458277,Europe
1962,57.7,67.17,5.63,1681222,Americas
1962,25.5,68.71,1.97,94263646,Asia
1962,96.6,54.94,7.9,962783,Asia
1962,NA,59.85,4.44,10819503,Asia
1962,109.9,48.82,8.04,8628973,Africa
1962,NA,46.64,7.08,43312,Oceania
1962,72.4,54.51,5.79,26495107,Asia
1962,89,63.77,7.31,335161,Asia
1962,NA,56.99,5.31,2323642,Asia
1962,NA,42.64,5.97,2219964,Asia
1962,NA,69.97,1.86,2185016,Europe
1962,54.7,63.47,5.69,1925276,Asia
1962,141.7,47.97,5.82,881910,Africa
1962,211.4,35.88,6.45,1170267,Africa
1962,148.4,48,7.61,1536196,Africa
1962,NA,69.46,2.46,2847221,Europe
1962,NA,68.59,2.39,320704,Europe
1962,NA,65.9,4.53,181025,Asia
1962,NA,62.11,3.6,1527105,Europe
1962,NA,43.12,7.3,5352674,Africa
1962,214.6,39.02,6.98,3784444,Africa
1962,61.1,61.07,6.05,8710678,Asia
1962,NA,39.64,7.12,94909,Asia
1962,225.2,30.08,6.75,5381369,Africa
1962,33.7,69.02,3.2,310325,Europe
1962,128.9,45.31,6.79,909172,Africa
1962,63.6,60.64,6.12,698307,Africa
1962,94.9,58.49,6.77,40649590,Americas
1962,NA,57.54,6.91,47387,Oceania
1962,NA,62.99,3.18,3145546,Europe
1962,NA,51.08,7.35,1011328,Asia
1962,NA,65.21,3.31,509708,Europe
1962,140.4,50.6,7.13,13100843,Africa
1962,NA,39.4,6.6,7799396,Africa
1962,NA,48.31,6.18,632658,Africa
1962,213.3,40.74,6,10377061,Asia
1962,15.6,73.21,3.18,11735896,Europe
1962,NA,57.72,5.22,83221,Oceania
1962,20.9,71.26,3.51,2477328,Oceania
1962,131.1,52.36,7.18,1886560,Americas
1962,NA,37.1,7.12,3596613,Africa
1962,182.6,41.61,6.35,47117859,Africa
1962,17.5,73.55,2.89,3638791,Europe
1962,226,46.47,7.25,578825,Asia
1962,178,48.63,6.6,47122931,Asia
1962,63.6,62.71,5.81,1202372,Americas
1962,126.9,39.87,6.28,2037165,Oceania
1962,61.4,67.03,6.47,2005337,Americas
1962,129.1,50.14,6.86,10650672,Americas
1962,64.2,59.53,7.02,28081234,Asia
1962,49.6,67.71,2.72,30530513,Europe
1962,78.7,64.37,3.19,8917020,Europe
1962,NA,69,4.41,2442157,Americas
1962,NA,62.31,6.98,56187,Asia
1962,NA,67.32,2.02,18924068,Europe
1962,NA,68.51,2.34,122842753,Europe
1962,123.4,43.74,8.2,3050596,Africa
1962,NA,58.47,6.88,92086,Americas
1962,NA,59.99,7.07,83206,Americas
1962,NA,52.62,7.63,115786,Oceania
1962,NA,48.84,7.24,4362863,Asia
1962,126,38.72,7.04,3356421,Africa
1962,NA,64.44,2.57,7669610,Europe
1962,70.9,61.59,5.53,43409,Africa
1962,217.5,37.06,6.16,2239581,Africa
1962,30.8,65.72,5.27,1742472,Asia
1962,NA,70.4,2.94,4245726,Europe
1962,NA,68.98,2.33,1605645,Europe
1962,119.3,51.69,6.38,125068,Oceania
1962,NA,49.78,6.1,18322335,Africa
1962,41.7,69.65,2.8,31122390,Europe
1962,67.1,60.61,5.3,10366190,Asia
1962,104.1,50.52,6.74,7981797,Africa
1962,NA,61.41,6.56,306330,Americas
1962,138.1,45.42,6.75,365719,Africa
1962,15.6,73.34,2.26,7576192,Europe
1962,20.7,71.35,2.58,5503e3,Europe
1962,110.6,53.98,7.52,4897428,Asia
1962,NA,58.03,6.31,2223956,Asia
1962,141.9,46.26,6.8,10683888,Africa
1962,95.8,56.51,6.16,29081037,Asia
1962,NA,39.15,6.38,517446,Asia
1962,156.4,42.42,6.62,1612758,Africa
1962,NA,61.91,7.3,66255,Oceania
1962,53.1,64.2,5.05,880019,Americas
1962,178.7,44.65,7.12,4303130,Africa
1962,157.1,48.52,6.18,28909985,Asia
1962,NA,55.82,6.63,1708711,Asia
1962,127.3,46.56,7.04,7240155,Africa
1962,NA,70.56,2.21,43749469,Europe
1962,124,53.91,6.89,112240,Asia
1962,22,70.84,2.79,53146634,Europe
1962,24.9,70.21,3.48,191860710,Americas
1962,54.9,68.39,2.89,2603887,Americas
1962,NA,60.25,6.78,9319510,Asia
1962,101.6,47.14,7.03,67806,Oceania
1962,56.6,61.3,6.63,8790590,Americas
1962,NA,52.08,7.91,1128809,Asia
1962,69.9,59.82,6.43,34684164,Asia
1962,263.7,34.52,7.33,5339285,Asia
1962,118.7,49.42,7.13,3240664,Africa
1962,87.6,53.99,7.27,4006262,Africa
1963,101.8,65.6,5.83,1790533,Europe
1963,148.4,49.07,7.65,11985130,Africa
1963,NA,37.63,7.41,5565808,Africa
1963,NA,64.38,4.3,57368,Americas
1963,59.39,65.74,3.08,21621845,Americas
1963,NA,68.3,4.32,2070427,Asia
1963,NA,66.79,4.27,56697,Americas
1963,19.2,70.97,3.34,10892700,Oceania
1963,31.2,69.64,2.82,7199962,Europe
1963,NA,62.62,5.55,4307315,Asia
1963,NA,62.85,4.36,127331,Americas
1963,105.1,55.64,7.19,178048,Asia
1963,163.7,47.81,6.83,52532595,Asia
1963,57.6,63.27,4.2,233587,Americas
1963,NA,71.66,2.65,8438535,Europe
1963,26,70,2.63,9323467,Europe
1963,NA,61.78,6.44,100166,Americas
1963,177.1,39.85,6.45,2543335,Africa
1963,NA,37.57,6.67,240364,Asia
1963,165,44.88,6.63,3913397,Americas
1963,NA,64.78,3.74,3406466,Europe
1963,105.8,51.35,6.67,564316,Africa
1963,119.9,56.75,6.06,79368453,Americas
1963,NA,64.21,6.36,93650,Asia
1963,40.6,70.38,2.2,8073469,Europe
1963,155.8,36.75,6.38,5027818,Africa
1963,144.3,41.41,7.09,2950903,Africa
1963,NA,42.95,6.94,6181137,Asia
1963,158.1,45.07,5.83,5719135,Africa
1963,25.1,71.26,3.68,19007305,Americas
1963,NA,50.59,6.98,216913,Africa
1963,157.6,38.85,5.91,1585765,Africa
1963,NA,42.17,6.3,3184775,Africa
1963,111.9,58.07,5.34,8237555,Americas
1963,NA,50.64,7.41,677332765,Asia
1963,84.3,59.71,6.73,18033548,Americas
1963,NA,45.32,6.94,198205,Africa
1963,NA,44.98,6.05,16461914,Africa
1963,104.2,50.04,6.01,1096502,Africa
1963,77.78,63.7,7.09,1484512,Americas
1963,192.8,40.17,7.57,3889859,Africa
1963,NA,66.05,2.24,4279058,Europe
1963,41.8,65.71,4.61,7618359,Americas
1963,NA,70.71,3.35,577912,Asia
1963,NA,70.56,2.18,9730996,Europe
1963,19.5,72.52,2.64,4686155,Europe
1963,NA,47.3,6.56,100622,Africa
1963,98.1,55.75,7.3,3638628,Americas
1963,112.3,56.01,6.62,4953735,Americas
1963,189.4,49.94,6.53,29322709,Africa
1963,119.4,54.18,6.74,3015885,Americas
1963,NA,38.73,5.55,260990,Africa
1963,NA,40.04,6.81,1512671,Africa
1963,NA,69.99,1.95,1260239,Europe
1963,NA,39.49,6.87,23798378,Africa
1963,48.8,56.94,5.88,436208,Oceania
1963,18.4,69.19,2.66,4522727,Europe
1963,20.3,70.46,2.81,47781535,Europe
1963,NA,57.47,5.43,86839,Oceania
1963,NA,40.07,4.62,516270,Africa
1963,141.5,37.26,5.72,389070,Africa
1963,NA,64.71,2.92,4357379,Asia
1963,NA,70.1,2.49,74820389,Europe
1963,121.8,47.66,6.86,7303432,Africa
1963,45,69.44,2.23,8452617,Europe
1963,NA,62.59,7.04,35038,Americas
1963,NA,61.93,6.2,93354,Americas
1963,138,48.4,6.46,4476923,Americas
1963,207.6,36.37,6.13,3749920,Africa
1963,NA,43.89,5.52,636593,Africa
1963,61,59.58,5.4,618887,Americas
1963,185.2,43.82,6.27,4103732,Americas
1963,128.4,49.94,7.44,2211144,Americas
1963,NA,69.05,5.05,3554025,Asia
1963,47.3,69.02,1.89,10099999,Europe
