Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
ENSMUSG00000000303,Cdh1,0,0,0,0,0,0,0,0
ENSMUSG00000000305,Cdh4,0,0,0,0,0,0,0,0
ENSMUSG00000000308,Ckmt1,3,0,0,0,2,1,0,0
ENSMUSG00000000317,Bcl6b,1,0,0,0,0,0,0,0
ENSMUSG00000000318,Clec10a,0,0,0,0,0,0,0,0
ENSMUSG00000000320,Alox12,0,0,0,0,0,0,0,0
ENSMUSG00000000325,Arvcf,0,0,0,1,1,0,0,0
ENSMUSG00000000326,Comt,41,46,63,46,54,57,148,124
ENSMUSG00000000339,Rtca,101,88,70,79,96,73,86,72
ENSMUSG00000000340,Dbt,14,19,26,34,30,16,6,3
ENSMUSG00000000346,Dazap2,971,992,982,989,927,913,1606,1593
ENSMUSG00000000355,Mcts1,32,27,35,28,37,42,68,75
ENSMUSG00000000359,Rem1,0,0,0,0,0,0,0,0
ENSMUSG00000000365,Rnf17,0,0,0,0,0,0,0,0
ENSMUSG00000000374,Trappc10,16,10,12,10,16,10,1,5
ENSMUSG00000000378,Ccm2,84,79,100,84,73,86,186,187
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,104,107,93,93,127,102,139,110
ENSMUSG00000000385,Tmprss2,0,0,0,0,0,0,0,0
ENSMUSG00000000386,Mx1,0,0,0,0,2,5,0,0
ENSMUSG00000000392,Fap,0,0,0,0,0,0,0,0
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,291,304,315,279,347,295,487,492
ENSMUSG00000000402,Egfl6,0,0,0,0,0,0,0,0
ENSMUSG00000000409,Lck,579,534,519,484,572,570,658,678
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0,0
ENSMUSG00000000416,Cttnbp2,0,0,0,0,0,0,0,0
ENSMUSG00000000420,Galnt1,47,46,15,9,43,37,21,13
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,97,96,121,105,93,109,49,53
ENSMUSG00000000440,Pparg,0,0,0,0,0,0,0,0
ENSMUSG00000000441,Raf1,131,134,168,146,164,138,31,28
ENSMUSG00000000486,37135,46,64,56,41,55,61,36,33
ENSMUSG00000000489,Pdgfb,0,0,0,0,0,0,0,0
ENSMUSG00000000530,Acvrl1,0,0,0,0,5,5,0,0
ENSMUSG00000000531,Grasp,0,0,2,1,1,0,1,1
ENSMUSG00000000532,Acvr1b,1,3,6,3,1,0,3,7
ENSMUSG00000000538,Tom1l2,7,8,11,10,11,6,5,2
ENSMUSG00000000544,Gpa33,0,0,0,0,0,0,0,0
ENSMUSG00000000552,Zfp385a,0,0,4,2,0,0,0,0
ENSMUSG00000000555,Itga5,0,0,0,0,0,0,0,0
ENSMUSG00000000560,Gabra2,0,0,0,0,0,0,0,0
ENSMUSG00000000561,Wdr77,107,89,58,53,130,119,96,119
ENSMUSG00000000562,Adora3,0,0,0,0,1,0,0,0
ENSMUSG00000000563,Atp5f1,656,627,588,541,739,714,950,920
ENSMUSG00000000567,Sox9,0,0,2,1,0,0,0,0
ENSMUSG00000000568,Hnrnpd,11,13,28,18,15,14,29,17
ENSMUSG00000000579,Dynlt1c,0,0,0,0,0,0,0,0
ENSMUSG00000000581,C1d,212,234,236,198,149,151,322,318
ENSMUSG00000000594,Gm2a,31,21,21,20,27,34,73,84
ENSMUSG00000000600,Krit1,63,82,69,70,53,51,6,8
ENSMUSG00000000605,Clcn4,61,64,68,59,95,86,48,45
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0,0,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,3,3,7,7,15,14,4,5
ENSMUSG00000000628,Hk2,55,40,54,44,67,67,39,50
ENSMUSG00000000631,Myo18a,10,19,3,4,17,28,8,23
ENSMUSG00000000632,Sez6,0,0,0,0,0,0,0,0
ENSMUSG00000000673,Haao,0,0,0,0,0,0,0,0
ENSMUSG00000000682,Cd52,28,18,23,28,75,65,115,118
ENSMUSG00000000686,Abhd15,8,2,6,3,2,1,0,0
ENSMUSG00000000690,Hoxb6,6,2,3,2,1,1,3,3
ENSMUSG00000000693,Loxl3,28,20,21,15,20,32,21,28
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,2,1,0,0,0,0,0,0
ENSMUSG00000000708,Kat2b,2,4,17,12,1,1,0,0
ENSMUSG00000000711,Rab5b,16,18,8,7,7,16,1,1
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0,0,0,0
ENSMUSG00000000731,Aire,0,0,0,0,0,1,0,0
ENSMUSG00000000732,Icosl,0,0,0,0,0,0,0,0
ENSMUSG00000000738,Spg7,22,14,23,15,7,19,20,22
ENSMUSG00000000739,Sult5a1,0,0,0,0,0,0,0,0
ENSMUSG00000000740,Rpl13,304,331,299,326,250,256,439,442
ENSMUSG00000000743,Chmp1a,128,125,157,153,134,143,147,142
ENSMUSG00000000751,Rpa1,710,653,634,593,482,498,72,52
ENSMUSG00000000753,Serpinf1,10,4,2,3,9,13,3,3
ENSMUSG00000000759,Tubgcp3,69,70,75,79,87,73,7,8
ENSMUSG00000000766,Oprm1,0,0,0,0,0,0,0,0
ENSMUSG00000000776,Polr3d,7,22,8,2,20,21,36,20
ENSMUSG00000000782,Tcf7,1151,1194,921,909,1060,1085,785,716
ENSMUSG00000000787,Ddx3x,294,221,263,255,225,193,73,70
ENSMUSG00000000791,Il12rb1,5,5,7,2,0,0,0,0
ENSMUSG00000000792,Slc5a5,1,1,0,0,0,0,0,0
ENSMUSG00000000794,Kcnn3,0,0,0,0,0,0,0,0
ENSMUSG00000000804,Usp32,6,8,4,6,8,7,13,7
ENSMUSG00000000805,Car4,0,0,0,0,0,0,0,0
ENSMUSG00000000811,Txnrd3,1,3,18,9,6,2,0,10
ENSMUSG00000000817,Fasl,0,0,0,0,0,0,0,0
ENSMUSG00000000823,Znf512b,29,28,41,32,25,33,32,42
ENSMUSG00000000826,Dnajc5,87,88,67,44,74,72,39,24
ENSMUSG00000000827,Tpd52l2,174,160,177,169,133,134,246,225
ENSMUSG00000000838,Fmr1,39,38,27,23,20,19,33,31
ENSMUSG00000000861,Bcl11a,0,0,0,0,0,0,0,0
ENSMUSG00000000869,Il4,0,0,0,0,0,0,0,0
ENSMUSG00000000876,Pxmp4,13,9,19,16,11,21,16,27
ENSMUSG00000000881,Dlg3,0,0,0,0,0,0,0,0
ENSMUSG00000000884,Gnb1l,27,28,23,17,5,6,20,17
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0
ENSMUSG00000000901,Mmp11,0,0,0,0,0,0,0,0
ENSMUSG00000000902,Smarcb1,134,108,78,71,126,108,146,142
ENSMUSG00000000903,Vpreb3,0,0,0,0,1,1,1,0
ENSMUSG00000000915,Hip1r,19,18,44,31,18,23,11,13
ENSMUSG00000000916,Nsun5,45,53,67,69,68,70,93,103
ENSMUSG00000000934,Top1mt,32,30,3,3,14,17,10,8
ENSMUSG00000000938,Hoxa10,49,43,75,61,46,48,41,28
ENSMUSG00000000942,Hoxa4,0,0,0,0,0,0,3,2
ENSMUSG00000000948,Gm38393,0,0,0,0,0,0,0,0
ENSMUSG00000000957,Mmp14,0,0,0,0,0,0,0,0
ENSMUSG00000000958,Slc7a7,32,23,25,30,34,27,47,47
ENSMUSG00000000959,Oxa1l,35,39,43,46,25,29,56,44
ENSMUSG00000000976,Heatr6,47,52,42,45,43,58,19,23
ENSMUSG00000000982,Ccl3,0,0,0,0,0,0,0,0
ENSMUSG00000000983,Wfdc18,0,0,0,0,0,0,0,0
ENSMUSG00000001014,Icam4,1,3,4,3,0,0,0,0
ENSMUSG00000001016,Ilf2,199,228,176,168,196,164,124,149
ENSMUSG00000001017,Chtop,170,151,136,119,132,128,90,77
ENSMUSG00000001018,Snapin,55,48,27,23,39,53,55,54
ENSMUSG00000001020,S100a4,55,40,47,35,16,20,39,38
ENSMUSG00000001021,S100a3,0,0,1,1,1,2,0,0
ENSMUSG00000001023,S100a5,0,0,0,0,0,0,0,0
ENSMUSG00000001025,S100a6,49,53,48,43,37,48,75,91
ENSMUSG00000001027,Scn4a,0,0,0,0,0,0,0,0
ENSMUSG00000001029,Icam2,21,20,16,14,10,16,13,11
ENSMUSG00000001034,Mapk7,15,21,9,15,38,36,0,0
ENSMUSG00000001036,Epn2,8,17,21,19,1,0,3,5
ENSMUSG00000001039,B9d1,0,7,11,7,18,11,31,18
ENSMUSG00000001052,Sec24b,41,48,39,33,31,24,2,5
ENSMUSG00000001053,N4bp3,3,7,10,10,6,15,3,7
ENSMUSG00000001054,Rmnd5b,45,56,61,46,76,79,148,144
ENSMUSG00000001056,Nhp2,411,334,336,328,336,341,418,471
ENSMUSG00000001062,Vps9d1,1,1,0,0,10,2,10,1
ENSMUSG00000001065,Zfp276,14,15,2,3,13,20,5,5
ENSMUSG00000001076,C1ql4,0,0,0,0,0,0,0,0
ENSMUSG00000001082,Mfsd10,30,29,58,31,24,22,36,39
ENSMUSG00000001089,Luzp1,74,85,56,45,55,73,85,93
ENSMUSG00000001095,Slc13a2,0,0,0,0,0,0,0,0
ENSMUSG00000001098,Kctd10,54,39,80,79,73,60,20,13
ENSMUSG00000001100,Poldip2,158,161,140,181,113,134,162,163
ENSMUSG00000001103,Sebox,2,6,0,0,0,0,0,0
ENSMUSG00000001105,Ift20,46,26,28,28,39,35,65,38
ENSMUSG00000001119,Col6a1,0,0,0,0,0,0,0,0
ENSMUSG00000001120,Pcbp3,0,0,0,0,0,0,0,0
ENSMUSG00000001123,Lgals9,391,357,323,344,802,776,1459,1478
ENSMUSG00000001127,Araf,74,86,35,39,90,76,57,59
ENSMUSG00000001128,Cfp,0,0,1,5,1,0,0,0
ENSMUSG00000001131,Timp1,0,0,0,0,0,0,0,0
ENSMUSG00000001134,Uxt,17,6,6,6,6,7,16,7
ENSMUSG00000001138,Cnnm3,1,2,9,4,5,8,3,2
ENSMUSG00000001143,Lman2l,31,42,33,28,26,38,36,35
ENSMUSG00000001150,Mcm3ap,21,21,31,37,30,36,22,18
ENSMUSG00000001151,Pcnt,66,73,59,37,68,71,31,34
ENSMUSG00000001155,Ftcd,0,0,0,0,0,0,0,0
ENSMUSG00000001156,Mxd1,1,0,10,8,13,4,6,1
ENSMUSG00000001157,Gmcl1,9,7,8,8,12,17,4,6
ENSMUSG00000001158,Snrnp27,127,97,87,89,97,103,194,224
ENSMUSG00000001166,Oas1c,13,12,4,2,16,17,2,2
ENSMUSG00000001168,Oas1h,0,0,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,0,0,11,12,6,8,0,0
ENSMUSG00000001175,Calm1,1281,1206,1207,1258,1064,1051,1889,1921
ENSMUSG00000001211,Agpat3,64,86,56,43,49,44,59,63
ENSMUSG00000001225,Slc26a3,0,0,0,0,0,0,0,0
ENSMUSG00000001227,Sema6b,0,0,0,0,0,0,0,0
ENSMUSG00000001228,Uhrf1,164,159,150,137,163,168,56,53
ENSMUSG00000001229,Dpp9,35,34,19,17,37,39,12,5
ENSMUSG00000001240,Ramp2,0,0,0,0,0,0,0,0
ENSMUSG00000001247,Lsr,0,0,0,0,0,0,0,0
ENSMUSG00000001248,Gramd1a,15,17,14,22,18,14,13,5
ENSMUSG00000001249,Hpn,1,3,16,12,10,10,2,8
ENSMUSG00000001260,Gabrg1,0,0,0,0,0,0,0,0
ENSMUSG00000001270,Ckb,0,0,0,0,0,0,0,0
ENSMUSG00000001280,Sp1,13,23,12,14,16,12,4,8
ENSMUSG00000001281,Itgb7,0,0,0,0,0,0,0,0
ENSMUSG00000001285,Myg1,127,140,134,126,93,135,151,146
ENSMUSG00000001288,Rarg,2,0,1,2,2,1,0,0
ENSMUSG00000001289,Pfdn5,64,86,80,73,51,75,129,105
ENSMUSG00000001300,Efnb2,0,0,0,0,0,0,0,0
ENSMUSG00000001305,Rrp15,90,67,74,87,108,136,247,214
ENSMUSG00000001313,Rnd2,0,0,0,0,0,0,0,0
ENSMUSG00000001323,Srr,86,83,66,72,78,86,22,10
ENSMUSG00000001333,Sync,0,0,0,0,0,0,0,0
ENSMUSG00000001334,Fndc5,0,0,0,0,0,0,0,0
ENSMUSG00000001348,Acp5,93,68,77,57,54,64,76,60
ENSMUSG00000001349,Cnn1,0,0,0,0,0,0,0,0
ENSMUSG00000001366,Fbxo9,29,22,32,31,31,22,36,35
ENSMUSG00000001376,Ccdc132,30,23,31,36,30,29,4,3
ENSMUSG00000001380,Hars,170,191,151,167,168,165,287,265
ENSMUSG00000001383,Zmat2,45,48,28,25,42,51,70,64
ENSMUSG00000001403,Ube2c,141,139,117,107,124,135,250,264
ENSMUSG00000001415,Smg5,46,51,26,17,29,39,32,38
ENSMUSG00000001416,Cct3,731,720,810,746,704,715,1000,1037
ENSMUSG00000001418,Glmp,47,41,23,30,22,26,56,45
ENSMUSG00000001419,Mef2d,17,20,16,27,17,14,17,9
ENSMUSG00000001420,Tmem79,6,4,0,0,2,3,1,2
ENSMUSG00000001424,Snd1,213,179,156,156,189,200,58,51
ENSMUSG00000001435,Col18a1,0,0,0,0,0,0,0,0
ENSMUSG00000001436,Slc19a1,52,41,45,24,49,54,59,53
ENSMUSG00000001440,Kpnb1,221,166,218,215,191,180,121,95
ENSMUSG00000001441,Npepps,43,46,52,29,44,46,19,30
ENSMUSG00000001444,Tbx21,0,0,0,0,0,0,4,5
ENSMUSG00000001445,Mrpl10,79,68,79,84,72,72,84,85
ENSMUSG00000001467,Cyp51,163,172,88,77,168,164,27,40
ENSMUSG00000001472,Tcf25,188,188,193,155,191,182,228,267
ENSMUSG00000001473,Tubb6,0,0,0,0,0,0,0,0
ENSMUSG00000001482,Def8,43,38,43,41,33,23,21,12
ENSMUSG00000001493,Meox1,0,0,0,0,0,0,0,0
ENSMUSG00000001494,Sost,0,0,0,0,0,0,0,0
ENSMUSG00000001496,Nkx2-1,0,0,0,0,0,0,0,0
ENSMUSG00000001497,Pax9,0,0,0,0,0,0,0,0
ENSMUSG00000001504,Irx2,0,0,0,0,0,0,0,0
ENSMUSG00000001506,Col1a1,0,0,0,0,0,0,0,0
ENSMUSG00000001507,Itga3,0,0,0,0,0,0,0,0
ENSMUSG00000001508,Sgca,0,0,0,0,0,0,0,0
ENSMUSG00000001510,Dlx3,0,0,0,0,0,0,0,0
ENSMUSG00000001517,Foxm1,45,50,28,17,24,13,16,25
ENSMUSG00000001518,Itfg2,8,9,12,7,26,32,14,14
ENSMUSG00000001520,Nrip2,0,0,0,0,0,4,0,1
ENSMUSG00000001521,Tulp3,9,17,0,0,9,2,10,8
ENSMUSG00000001524,Gtf2h4,29,20,9,16,23,14,52,50
ENSMUSG00000001525,Tubb5,1033,1000,904,952,804,794,1039,1007
ENSMUSG00000001542,Ell2,0,0,0,0,0,0,0,0
ENSMUSG00000001552,Jup,0,0,0,0,0,0,0,0
ENSMUSG00000001555,Fkbp10,0,0,3,0,0,0,0,0
ENSMUSG00000001558,Klhl10,0,0,0,0,0,0,0,0
ENSMUSG00000001566,Mnx1,0,0,0,0,0,0,0,0
ENSMUSG00000001569,Nom1,155,153,146,135,80,80,23,25
ENSMUSG00000001576,Ergic1,187,189,135,119,148,152,110,118
ENSMUSG00000001583,Tnk1,0,0,0,0,0,0,0,0
ENSMUSG00000001588,Acap1,94,105,132,131,170,159,97,99
ENSMUSG00000001604,Tcea3,0,2,0,0,0,0,0,0
ENSMUSG00000001622,Csn3,0,0,0,0,0,0,0,0
ENSMUSG00000001627,Ifrd1,47,66,25,25,38,28,12,18
ENSMUSG00000001630,Stk38l,5,6,5,12,11,21,1,1
ENSMUSG00000001632,Brpf1,5,2,16,14,20,18,11,12
ENSMUSG00000001642,Akr1b3,81,130,135,120,95,106,176,176
ENSMUSG00000001655,Hoxc13,0,0,0,0,0,0,0,0
ENSMUSG00000001656,Hoxc11,0,0,0,0,0,0,0,0
ENSMUSG00000001657,Hoxc8,0,0,0,0,2,1,5,5
ENSMUSG00000001661,Hoxc6,0,1,1,0,4,2,0,0
ENSMUSG00000001663,Gstt1,0,0,0,0,0,0,3,4
ENSMUSG00000001665,Gstt3,0,0,0,0,0,0,0,0
ENSMUSG00000001666,Ddt,6,7,11,12,14,25,32,35
ENSMUSG00000001670,Tat,4,1,11,14,2,0,1,0
ENSMUSG00000001672,Marveld3,17,21,16,20,14,13,8,10
ENSMUSG00000001674,Ddx18,48,44,47,52,60,81,82,54
ENSMUSG00000001687,Ubl3,34,38,72,66,68,73,60,42
ENSMUSG00000001700,Gramd3,6,5,0,0,24,19,23,30
ENSMUSG00000001707,Eef1e1,96,90,88,102,66,81,123,94
ENSMUSG00000001729,Akt1,96,79,51,61,38,48,56,79
ENSMUSG00000001739,Cldn15,0,0,0,0,0,0,0,0
ENSMUSG00000001741,Il16,28,28,37,32,32,27,12,17
ENSMUSG00000001750,Tcirg1,73,51,28,30,89,58,23,14
ENSMUSG00000001751,Naglu,2,10,13,7,14,17,5,2
ENSMUSG00000001755,Coasy,64,60,74,91,56,72,93,63
ENSMUSG00000001761,Smo,18,23,10,16,19,22,9,7
ENSMUSG00000001763,Tspan33,0,0,0,0,0,0,0,0
ENSMUSG00000001767,Crnkl1,47,61,58,52,58,44,24,15
ENSMUSG00000001768,Rin2,0,0,0,0,0,0,0,0
ENSMUSG00000001773,Folh1,0,0,0,0,0,0,0,0
ENSMUSG00000001774,Chordc1,188,180,167,155,131,167,20,13
ENSMUSG00000001783,Rtcb,364,330,346,357,364,334,347,292
ENSMUSG00000001785,Pwp1,73,83,136,119,65,91,30,29
ENSMUSG00000001786,Fbxo7,51,59,77,48,69,72,67,50
ENSMUSG00000001794,Capns1,10,13,29,20,7,8,19,24
ENSMUSG00000001802,Lrp3,0,0,0,0,0,0,0,0
ENSMUSG00000001804,Dsg4,0,0,0,0,0,0,0,0
ENSMUSG00000001815,Evx2,0,0,0,0,0,0,0,0
ENSMUSG00000001819,Hoxd13,0,0,0,0,0,0,0,0
ENSMUSG00000001823,Hoxd12,0,0,0,0,0,0,0,0
ENSMUSG00000001827,Folr1,0,0,0,0,0,0,0,0
ENSMUSG00000001829,Clpb,116,120,134,118,143,125,135,130
ENSMUSG00000001833,39326,478,461,437,450,482,457,198,193
ENSMUSG00000001844,Zdhhc4,21,35,40,40,38,36,31,37
ENSMUSG00000001847,Rac1,239,238,232,264,223,245,160,177
ENSMUSG00000001855,Nup214,27,25,32,42,54,54,41,38
ENSMUSG00000001864,Aif1l,0,4,4,2,1,1,0,0
ENSMUSG00000001865,Cpa3,1654,1501,1725,1390,1092,1040,1533,1335
ENSMUSG00000001870,Ltbp1,0,0,0,0,0,0,0,0
ENSMUSG00000001891,Ugp2,31,46,26,28,33,38,0,0
ENSMUSG00000001901,Kcnh6,0,0,0,0,0,0,0,0
ENSMUSG00000001909,Trmt1,18,22,35,41,25,19,36,38
ENSMUSG00000001910,Nacc1,1,1,6,5,0,0,0,2
ENSMUSG00000001911,Nfix,2,10,7,7,3,4,14,12
ENSMUSG00000001918,Slc1a5,207,201,196,175,218,248,139,132
ENSMUSG00000001924,Uba1,110,143,156,121,120,124,50,46
ENSMUSG00000001930,Vwf,0,0,0,0,0,0,0,0
ENSMUSG00000001942,Siae,40,48,63,70,59,54,17,13
ENSMUSG00000001943,Vsig2,1,0,0,0,0,0,1,0
ENSMUSG00000001946,Esam,0,0,0,0,0,0,0,0
ENSMUSG00000001948,Spa17,5,4,6,10,4,4,4,3
ENSMUSG00000001962,Fam50a,27,27,27,24,17,21,51,44
ENSMUSG00000001964,Emd,76,62,78,76,66,83,119,97
ENSMUSG00000001983,Taco1,34,29,38,27,43,31,37,42
ENSMUSG00000001985,Grik3,0,2,0,0,1,3,0,0
ENSMUSG00000001986,Gria3,0,0,0,0,0,0,0,0
ENSMUSG00000001988,Npas1,0,0,0,0,0,0,0,0
ENSMUSG00000001995,Sipa1l2,0,0,0,0,0,0,0,0
ENSMUSG00000001998,Ap4e1,16,20,16,27,21,35,6,3
ENSMUSG00000001999,Blvra,70,62,61,60,82,76,120,129
ENSMUSG00000002006,Pdzd4,0,0,0,0,0,0,0,0
ENSMUSG00000002007,Srpk3,0,0,0,0,0,0,0,0
ENSMUSG00000002010,Idh3g,339,317,239,242,239,241,347,355
ENSMUSG00000002012,Pnck,0,0,0,0,0,0,0,0
ENSMUSG00000002014,Ssr4,175,168,125,118,107,79,189,150
ENSMUSG00000002015,Bcap31,315,348,253,259,314,294,577,586
ENSMUSG00000002017,Fam98a,55,77,68,61,52,61,11,11
ENSMUSG00000002020,Ltbp2,0,0,0,0,0,0,0,0
ENSMUSG00000002028,Kmt2a,35,30,31,40,22,23,13,13
ENSMUSG00000002031,Ift46,29,25,16,8,11,11,34,35
ENSMUSG00000002032,Tmem25,0,0,0,0,0,0,0,0
ENSMUSG00000002033,Cd3g,342,320,302,303,302,305,515,473
ENSMUSG00000002043,Trappc6a,63,62,67,59,75,60,138,111
ENSMUSG00000002052,Supt6,52,55,57,68,69,61,36,33
ENSMUSG00000002055,Spag5,52,67,69,64,88,93,18,18
ENSMUSG00000002057,Foxn1,0,0,0,0,0,0,0,0
ENSMUSG00000002058,Unc119,1,4,3,3,1,5,10,13
ENSMUSG00000002059,Rab34,0,0,0,0,0,0,0,0
ENSMUSG00000002064,Sdf2,24,24,28,33,26,34,60,52
ENSMUSG00000002068,Ccne1,336,287,250,267,242,299,377,442
ENSMUSG00000002076,Hsf2bp,0,0,0,0,0,0,0,0
ENSMUSG00000002083,Bbc3,1,4,5,1,1,3,6,3
ENSMUSG00000002100,Mybpc3,0,0,0,0,0,0,0,0
ENSMUSG00000002102,Psmc3,471,436,441,455,343,353,661,688
ENSMUSG00000002103,Acp2,35,44,43,39,35,34,20,17
ENSMUSG00000002104,Rapsn,22,28,30,16,6,6,6,8
ENSMUSG00000002105,Slc39a13,0,8,9,8,10,18,0,0
ENSMUSG00000002107,Celf2,193,181,166,162,200,215,180,195
ENSMUSG00000002108,Nr1h3,0,0,3,2,0,1,0,0
ENSMUSG00000002109,Ddb2,57,46,30,33,30,30,18,17
ENSMUSG00000002111,Spi1,0,0,0,0,0,0,0,0
ENSMUSG00000002129,Sf3a1,103,106,68,65,93,98,14,10
ENSMUSG00000002147,Stat6,130,133,43,48,135,126,9,13
ENSMUSG00000002190,Clgn,0,0,0,0,0,0,0,0
ENSMUSG00000002204,Napsa,102,94,103,90,132,109,216,196
ENSMUSG00000002205,Vrk3,88,81,58,68,60,72,138,180
ENSMUSG00000002210,Smg9,5,2,18,15,25,15,9,5
ENSMUSG00000002221,Paxip1,28,40,32,22,46,44,7,4
ENSMUSG00000002222,Rmnd5a,22,24,6,4,9,6,7,15
ENSMUSG00000002227,Mov10,43,40,118,89,59,48,17,20
ENSMUSG00000002228,Ppm1j,0,0,0,0,0,0,0,0
