"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_24_P282434"	"1"	"0.009633"	"3.7148462"	"-4.53"	"1.97624579"	"PTPRJ"	"protein tyrosine phosphatase, receptor type J"
"A_23_P71379"	"1"	"0.009843"	"3.6968966"	"-4.53"	"1.69704161"	"PSCA"	"prostate stem cell antigen"
"A_23_P55639"	"1"	"0.010262"	"-3.6622101"	"-4.53"	"-1.93919873"	"RPRD1A"	"regulation of nuclear pre-mRNA domain containing 1A"
"A_32_P102935"	"1"	"0.010647"	"-3.6316786"	"-4.53"	"-1.78672386"	"SPDYA"	"speedy/RINGO cell cycle regulator family member A"
"A_23_P321501"	"1"	"0.010699"	"-3.6276003"	"-4.53"	"-1.69620161"	"DHRS2"	"dehydrogenase/reductase 2"
"A_23_P70007"	"1"	"0.010807"	"-3.6193562"	"-4.53"	"-2.75150405"	"HMMR"	"hyaluronan mediated motility receptor"
"A_24_P409390"	"1"	"0.011525"	"3.5663824"	"-4.53"	"1.60037125"	""	""
"A_32_P212939"	"1"	"0.011763"	"3.5496568"	"-4.53"	"1.60163833"	"ZNF726"	"zinc finger protein 726"
"A_23_P99063"	"1"	"0.011916"	"3.5390462"	"-4.53"	"2.14702481"	"LUM"	"lumican"
"A_23_P356004"	"1"	"0.012155"	"3.522852"	"-4.53"	"1.71065188"	"KCNIP3"	"potassium voltage-gated channel interacting protein 3"
"A_24_P84711"	"1"	"0.012486"	"-3.5009405"	"-4.53"	"-2.8661693"	""	""
"A_32_P92489"	"1"	"0.012751"	"3.4838942"	"-4.53"	"1.76432683"	"PKD1L2"	"polycystin 1 like 2 (gene/pseudogene)"
"A_24_P409013"	"1"	"0.013055"	"-3.4647471"	"-4.53"	"-1.73888087"	"WDR78"	"WD repeat domain 78"
"A_32_P158376"	"1"	"0.013067"	"3.464057"	"-4.53"	"1.76492115"	""	""
"A_24_P388786"	"1"	"0.013213"	"-3.4550314"	"-4.53"	"-2.13990455"	"DNAH5"	"dynein axonemal heavy chain 5"
"A_23_P138507"	"1"	"0.013421"	"-3.4423997"	"-4.53"	"-2.08648375"	"CDK1"	"cyclin dependent kinase 1"
"A_23_P340909"	"1"	"0.013975"	"-3.409781"	"-4.54"	"-1.85212195"	"SKA3"	"spindle and kinetochore associated complex subunit 3"
"A_24_P307964"	"1"	"0.014071"	"3.4042955"	"-4.54"	"2.38864705"	"SOHLH1"	"spermatogenesis and oogenesis specific basic helix-loop-helix 1"
"A_32_P122951"	"1"	"0.014092"	"-3.4031105"	"-4.54"	"-1.6262719"	""	""
"A_23_P42530"	"1"	"0.014196"	"-3.3971912"	"-4.54"	"-2.04133172"	"DST"	"dystonin"
"A_23_P156390"	"1"	"0.014469"	"-3.3819019"	"-4.54"	"-1.9569017"	"JAKMIP2"	"janus kinase and microtubule interacting protein 2"
"A_23_P87769"	"1"	"0.014508"	"-3.3797485"	"-4.54"	"-1.68276025"	"PARPBP"	"PARP1 binding protein"
"A_23_P252740"	"1"	"0.014533"	"-3.3783473"	"-4.54"	"-1.53550405"	"DSCC1"	"DNA replication and sister chromatid cohesion 1"
"A_32_P335921"	"1"	"0.014745"	"-3.3667324"	"-4.54"	"-1.95995097"	"ROPN1L"	"rhophilin associated tail protein 1 like"
"A_24_P76521"	"1"	"0.014867"	"-3.360169"	"-4.54"	"-1.6275121"	""	""
"A_23_P35219"	"1"	"0.015509"	"-3.3264409"	"-4.54"	"-3.24201591"	"NEK2"	"NIMA related kinase 2"
"A_23_P212779"	"1"	"0.015949"	"3.3041878"	"-4.54"	"1.80002"	"PARM1"	"prostate androgen-regulated mucin-like protein 1"
"A_24_P621434"	"1"	"0.016015"	"-3.3008934"	"-4.54"	"-1.55653554"	""	""
"A_23_P86059"	"1"	"0.016077"	"3.297806"	"-4.54"	"1.82125195"	"HHIPL2"	"HHIP like 2"
"A_24_P112941"	"1"	"0.016275"	"3.2881137"	"-4.54"	"1.4989748"	"LINGO1"	"leucine rich repeat and Ig domain containing 1"
"A_23_P323751"	"1"	"0.016497"	"-3.2773875"	"-4.54"	"-1.829976"	"FAM83D"	"family with sequence similarity 83 member D"
"A_32_P834652"	"1"	"0.016586"	"-3.2731227"	"-4.54"	"-1.73707437"	""	""
"A_24_P106382"	"1"	"0.016764"	"3.2646587"	"-4.54"	"1.70810726"	""	""
"A_32_P165477"	"1"	"0.016852"	"3.2605602"	"-4.54"	"1.54692975"	"SLC7A11"	"solute carrier family 7 member 11"
"A_23_P206113"	"1"	"0.016915"	"3.2575785"	"-4.54"	"2.2763217"	"CYP1A2"	"cytochrome P450 family 1 subfamily A member 2"
"A_24_P68908"	"1"	"0.017093"	"3.2493021"	"-4.54"	"1.58229567"	"NMRAL1P1"	"NmrA like redox sensor 1 pseudogene 1"
"A_32_P427222"	"1"	"0.017192"	"3.2447622"	"-4.54"	"1.47297061"	"MROH2A"	"maestro heat like repeat family member 2A"
"A_23_P383118"	"1"	"0.01721"	"-3.2439537"	"-4.54"	"-1.47750612"	"ZSWIM5"	"zinc finger SWIM-type containing 5"
"A_23_P200512"	"1"	"0.017623"	"-3.2252441"	"-4.54"	"-1.74803493"	"ZBTB18"	"zinc finger and BTB domain containing 18"
"A_23_P413862"	"1"	"0.017633"	"-3.2247928"	"-4.54"	"-1.78589534"	"DCDC5"	"doublecortin domain containing 5"
"A_23_P52336"	"1"	"0.01779"	"3.2178268"	"-4.54"	"1.4953238"	"UNC5B"	"unc-5 netrin receptor B"
"A_32_P49284"	"1"	"0.018756"	"3.1763391"	"-4.54"	"1.55156047"	""	""
"A_32_P24165"	"1"	"0.018961"	"-3.1678582"	"-4.54"	"-1.4877919"	"FANCD2"	"Fanconi anemia complementation group D2"
"A_23_P155815"	"1"	"0.01906"	"-3.1637794"	"-4.54"	"-2.4541521"	"NCAPG"	"non-SMC condensin I complex subunit G"
"A_23_P63789"	"1"	"0.019134"	"-3.1607667"	"-4.54"	"-1.9894247"	"ZWINT"	"ZW10 interacting kinetochore protein"
"A_23_P163481"	"1"	"0.019135"	"-3.1607359"	"-4.54"	"-1.8484118"	"BUB1B"	"BUB1 mitotic checkpoint serine/threonine kinase B"
"A_32_P221305"	"1"	"0.019547"	"3.1440917"	"-4.54"	"1.68257075"	"LINC00937"	"long intergenic non-protein coding RNA 937"
"A_23_P96688"	"1"	"0.019938"	"3.1286668"	"-4.54"	"1.67881702"	"KMT5B"	"lysine methyltransferase 5B"
"A_23_P74349"	"1"	"0.020189"	"-3.1189333"	"-4.54"	"-2.8079895"	"NUF2"	"NUF2, NDC80 kinetochore complex component"
"A_23_P144005"	"1"	"0.020275"	"-3.1156321"	"-4.54"	"-1.80147433"	"SSUH2"	"ssu-2 homolog (C. elegans)"
"A_32_P221631"	"1"	"0.02035"	"-3.11277"	"-4.54"	"-1.73779131"	""	""
"A_24_P393372"	"1"	"0.020436"	"-3.1094631"	"-4.54"	"-1.80782548"	"PACS2"	"phosphofurin acidic cluster sorting protein 2"
"A_24_P744818"	"1"	"0.020491"	"-3.1073922"	"-4.54"	"-1.51933957"	"SP3"	"Sp3 transcription factor"
"A_32_P173922"	"1"	"0.020593"	"-3.1035263"	"-4.54"	"-2.15903465"	""	""
"A_32_P112933"	"1"	"0.020604"	"3.1031077"	"-4.54"	"2.06474997"	""	""
"A_23_P502158"	"1"	"0.020827"	"3.094789"	"-4.54"	"1.42848745"	"ADAM11"	"ADAM metallopeptidase domain 11"
"A_23_P21560"	"1"	"0.020876"	"3.0929656"	"-4.54"	"1.61186868"	"FAM49A"	"family with sequence similarity 49 member A"
"A_23_P330486"	"1"	"0.020966"	"-3.0896089"	"-4.54"	"-1.57251167"	"NDUFAF6"	"NADH:ubiquinone oxidoreductase complex assembly factor 6"
"A_23_P34366"	"1"	"0.021031"	"3.0872108"	"-4.54"	"1.64903717"	"HTR1D"	"5-hydroxytryptamine receptor 1D"
"A_32_P133090"	"1"	"0.021289"	"3.0777637"	"-4.54"	"1.4616954"	""	""
"A_23_P156198"	"1"	"0.021296"	"3.0775125"	"-4.54"	"1.6205509"	"JADE2"	"jade family PHD finger 2"
"A_32_P25694"	"1"	"0.021575"	"-3.0674527"	"-4.54"	"-1.53075064"	""	""
"A_23_P42784"	"1"	"0.021668"	"-3.0641353"	"-4.54"	"-1.72957526"	"STK31"	"serine/threonine kinase 31"
"A_23_P253622"	"1"	"0.021701"	"-3.0629466"	"-4.54"	"-1.39463418"	"ANKRD36B"	"ankyrin repeat domain 36B"
"A_23_P145694"	"1"	"0.022001"	"3.052349"	"-4.54"	"1.51491597"	"ASNS"	"asparagine synthetase (glutamine-hydrolyzing)"
"A_32_P143496"	"1"	"0.022162"	"3.0467287"	"-4.54"	"1.51646868"	""	""
"A_23_P47199"	"1"	"0.022195"	"-3.0455761"	"-4.54"	"-1.53695861"	"SLC22A11"	"solute carrier family 22 member 11"
"A_32_P731227"	"1"	"0.022417"	"-3.0379048"	"-4.54"	"-2.65943728"	""	""
"A_23_P115785"	"1"	"0.022692"	"-3.0285201"	"-4.54"	"-1.49029104"	"FANK1"	"fibronectin type III and ankyrin repeat domains 1"
"A_24_P73817"	"1"	"0.023435"	"-3.003736"	"-4.54"	"-1.46780181"	"PRSS53"	"protease, serine 53"
"A_24_P576445"	"1"	"0.023599"	"-2.9984121"	"-4.54"	"-1.38033825"	"TBC1D8"	"TBC1 domain family member 8"
"A_23_P400378"	"1"	"0.023801"	"2.9918557"	"-4.54"	"1.41033507"	"GPBAR1"	"G protein-coupled bile acid receptor 1"
"A_23_P389897"	"1"	"0.023852"	"2.9902148"	"-4.54"	"1.49607102"	"NGFR"	"nerve growth factor receptor"
"A_24_P249253"	"1"	"0.024196"	"2.9792514"	"-4.54"	"1.52514949"	"LMOD2"	"leiomodin 2"
"A_32_P190316"	"1"	"0.024637"	"-2.9654253"	"-4.54"	"-1.63529081"	""	""
"A_23_P209625"	"1"	"0.024751"	"2.9618873"	"-4.54"	"1.54629735"	"CYP1B1"	"cytochrome P450 family 1 subfamily B member 1"
"A_24_P911612"	"1"	"0.024877"	"-2.9580122"	"-4.54"	"-1.89664865"	""	""
"A_24_P328045"	"1"	"0.025073"	"-2.9520308"	"-4.54"	"-1.91778466"	""	""
"A_23_P118113"	"1"	"0.025139"	"-2.9500165"	"-4.54"	"-2.14425229"	"CAPN15"	"calpain 15"
"A_32_P84084"	"1"	"0.025292"	"2.945382"	"-4.54"	"1.32634076"	"MTSS1L"	"metastasis suppressor 1 like"
"A_32_P226186"	"1"	"0.025336"	"-2.9440572"	"-4.54"	"-1.47118412"	"KIAA1549"	"KIAA1549"
"A_23_P378526"	"1"	"0.025595"	"2.9362923"	"-4.54"	"1.35839768"	"RTEL1"	"regulator of telomere elongation helicase 1"
"A_23_P48669"	"1"	"0.025875"	"-2.9280052"	"-4.54"	"-1.7076963"	"CDKN3"	"cyclin dependent kinase inhibitor 3"
"A_23_P356684"	"1"	"0.026128"	"-2.9206124"	"-4.54"	"-2.08211775"	"ANLN"	"anillin actin binding protein"
"A_23_P96165"	"1"	"0.02619"	"2.9188038"	"-4.54"	"1.44853414"	"C11orf80"	"chromosome 11 open reading frame 80"
"A_23_P148475"	"1"	"0.026191"	"-2.918775"	"-4.54"	"-1.93424735"	"KIF4A"	"kinesin family member 4A"
"A_24_P778906"	"1"	"0.026253"	"2.9169867"	"-4.54"	"1.62246651"	""	""
"A_23_P97541"	"1"	"0.026468"	"2.9107887"	"-4.54"	"1.3578276"	"C4BPA"	"complement component 4 binding protein alpha"
"A_32_P201150"	"1"	"0.026559"	"-2.9081605"	"-4.54"	"-1.4057388"	""	""
"A_32_P180825"	"1"	"0.026917"	"-2.8980011"	"-4.54"	"-2.21610929"	"FMN1"	"formin 1"
"A_32_P91519"	"1"	"0.027056"	"-2.8940949"	"-4.54"	"-2.0470291"	""	""
"A_23_P137837"	"1"	"0.027094"	"-2.8930057"	"-4.54"	"-1.51986952"	""	""
"A_32_P71476"	"1"	"0.027767"	"-2.8744039"	"-4.54"	"-1.58517354"	""	""
"A_32_P54987"	"1"	"0.027796"	"2.8736306"	"-4.54"	"1.39709486"	""	""
"A_23_P37505"	"1"	"0.027914"	"-2.8704139"	"-4.54"	"-1.38945678"	"DYX1C1"	"dyslexia susceptibility 1 candidate 1"
"A_24_P12660"	"1"	"0.028131"	"-2.8645572"	"-4.55"	"-1.52165248"	""	""
"A_23_P11729"	"1"	"0.028237"	"2.8617053"	"-4.55"	"1.2996275"	"ZBTB7B"	"zinc finger and BTB domain containing 7B"
"A_23_P18656"	"1"	"0.028514"	"-2.8543278"	"-4.55"	"-1.3304452"	"SCLT1"	"sodium channel and clathrin linker 1"
"A_23_P62634"	"1"	"0.028935"	"2.8432616"	"-4.55"	"1.53088199"	"RHCE"	"Rh blood group CcEe antigens"
"A_32_P56618"	"1"	"0.029234"	"2.8355062"	"-4.55"	"1.44655414"	""	""
"A_24_P753161"	"1"	"0.029323"	"-2.8331983"	"-4.55"	"-1.88150909"	"BMPR2"	"bone morphogenetic protein receptor type 2"
"A_32_P49699"	"1"	"0.029455"	"-2.829815"	"-4.55"	"-1.32370247"	""	""
"A_24_P251962"	"1"	"0.02975"	"2.8222936"	"-4.55"	"1.43673033"	"PCDHB2"	"protocadherin beta 2"
"A_23_P88331"	"1"	"0.029826"	"-2.8203726"	"-4.55"	"-1.9604852"	"DLGAP5"	"DLG associated protein 5"
"A_23_P34788"	"1"	"0.029952"	"-2.8172143"	"-4.55"	"-1.94654675"	"KIF2C"	"kinesin family member 2C"
"A_32_P123088"	"1"	"0.03013"	"2.8127324"	"-4.55"	"1.32488819"	"TMED7-TICAM2"	"TMED7-TICAM2 readthrough"
"A_24_P392265"	"1"	"0.030326"	"-2.807868"	"-4.55"	"-1.76272968"	"EXOC5"	"exocyst complex component 5"
"A_23_P130056"	"1"	"0.030497"	"2.8036271"	"-4.55"	"3.03421827"	"LYZL6"	"lysozyme like 6"
"A_32_P184268"	"1"	"0.031091"	"2.7891239"	"-4.55"	"1.93963289"	""	""
"A_32_P88965"	"1"	"0.031298"	"2.7841535"	"-4.55"	"1.37368103"	"DDR2"	"discoidin domain receptor tyrosine kinase 2"
"A_32_P834726"	"1"	"0.031434"	"-2.7808896"	"-4.55"	"-1.34968278"	"KDM8"	"lysine demethylase 8"
"A_23_P142403"	"1"	"0.031841"	"2.7712333"	"-4.55"	"1.27525062"	"TM6SF2"	"transmembrane 6 superfamily member 2"
"A_24_P340247"	"1"	"0.031862"	"2.7707381"	"-4.55"	"1.53725499"	"IZUMO1"	"izumo sperm-egg fusion 1"
"A_23_P83558"	"1"	"0.031883"	"-2.7702519"	"-4.55"	"-1.88604598"	"KCNH6"	"potassium voltage-gated channel subfamily H member 6"
"A_23_P150935"	"1"	"0.031889"	"-2.7701153"	"-4.55"	"-1.6562498"	"TROAP"	"trophinin associated protein"
"A_23_P217832"	"1"	"0.031972"	"2.7681669"	"-4.55"	"2.0327556"	"FAM129A"	"family with sequence similarity 129 member A"
"A_23_P158257"	"1"	"0.032263"	"2.7613797"	"-4.55"	"1.34560937"	"DUX3"	"double homeobox 3"
"A_24_P718705"	"1"	"0.0324"	"2.7581889"	"-4.55"	"1.5230916"	"PAXBP1-AS1"	"PAXBP1 antisense RNA 1"
"A_23_P415443"	"1"	"0.032526"	"-2.7552929"	"-4.55"	"-1.43741175"	"NCAPH"	"non-SMC condensin I complex subunit H"
"A_23_P57379"	"1"	"0.032754"	"-2.7500502"	"-4.55"	"-1.23710195"	"CDC45"	"cell division cycle 45"
"A_23_P93940"	"1"	"0.032938"	"2.7458648"	"-4.55"	"1.64429388"	"PGAM2"	"phosphoglycerate mutase 2"
"A_23_P149812"	"1"	"0.032965"	"-2.7452662"	"-4.55"	"-1.29096913"	"RSU1"	"Ras suppressor protein 1"
"A_23_P117852"	"1"	"0.03316"	"-2.7408505"	"-4.55"	"-2.1591095"	"KIAA0101"	"KIAA0101"
"A_24_P783656"	"1"	"0.033318"	"-2.737294"	"-4.55"	"-1.32823173"	""	""
"A_32_P168326"	"1"	"0.033619"	"2.7305687"	"-4.55"	"1.84615707"	"ANKRD20A2"	"ankyrin repeat domain 20 family member A2"
"A_32_P224094"	"1"	"0.033625"	"2.730445"	"-4.55"	"1.4805414"	""	""
"A_23_P369047"	"1"	"0.033843"	"-2.7256127"	"-4.55"	"-2.52638197"	"PKI55"	"DKFZp434H1419"
"A_23_P118834"	"1"	"0.033894"	"-2.7244888"	"-4.55"	"-1.9118801"	"TOP2A"	"topoisomerase (DNA) II alpha"
"A_24_P367247"	"1"	"0.034187"	"-2.7180577"	"-4.55"	"-1.25964885"	"KRTAP19-1"	"keratin associated protein 19-1"
"A_24_P412036"	"1"	"0.034219"	"-2.717356"	"-4.55"	"-1.24843776"	"SPAG8"	"sperm associated antigen 8"
"A_24_P163168"	"1"	"0.034328"	"2.7149779"	"-4.55"	"1.60569137"	"PDGFC"	"platelet derived growth factor C"
"A_23_P80449"	"1"	"0.034695"	"2.7070474"	"-4.55"	"1.91886803"	"THRB"	"thyroid hormone receptor beta"
"A_32_P223616"	"1"	"0.034809"	"-2.7046207"	"-4.55"	"-1.21275818"	""	""
"A_24_P129341"	"1"	"0.035025"	"2.6999982"	"-4.55"	"1.98278521"	"AKR1B10"	"aldo-keto reductase family 1 member B10"
"A_24_P254705"	"1"	"0.035104"	"-2.6983337"	"-4.55"	"-1.69334855"	"ZNF695"	"zinc finger protein 695"
"A_23_P93641"	"1"	"0.035247"	"2.6952965"	"-4.55"	"2.0004582"	"AKR1B10"	"aldo-keto reductase family 1 member B10"
"A_32_P70361"	"1"	"0.035453"	"-2.6909484"	"-4.55"	"-1.3606107"	"KIF9-AS1"	"KIF9 antisense RNA 1"
"A_32_P16315"	"1"	"0.035831"	"2.6830584"	"-4.55"	"1.27381654"	"TUBB8"	"tubulin beta 8 class VIII"
"A_32_P213678"	"1"	"0.036113"	"-2.6772403"	"-4.55"	"-1.51279989"	"SMARCA5"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"A_32_P224992"	"1"	"0.036239"	"2.6746542"	"-4.55"	"1.24389334"	""	""
"A_23_P314101"	"1"	"0.036553"	"2.6682281"	"-4.55"	"1.2333183"	"SUSD2"	"sushi domain containing 2"
"A_24_P398147"	"1"	"0.036785"	"-2.6635319"	"-4.55"	"-1.34554453"	"NEBL"	"nebulette"
"A_23_P68610"	"1"	"0.037018"	"-2.6588441"	"-4.55"	"-1.7538708"	"TPX2"	"TPX2, microtubule nucleation factor"
"A_32_P110604"	"1"	"0.03716"	"2.6559945"	"-4.55"	"2.6092217"	""	""
"A_32_P215847"	"1"	"0.037479"	"2.6496562"	"-4.55"	"1.54745965"	""	""
"A_32_P141768"	"1"	"0.037661"	"-2.6460727"	"-4.55"	"-1.32928657"	"AGPAT4"	"1-acylglycerol-3-phosphate O-acyltransferase 4"
"A_24_P941166"	"1"	"0.037671"	"-2.6458675"	"-4.55"	"-1.3336597"	"ZNF425"	"zinc finger protein 425"
"A_24_P250507"	"1"	"0.037809"	"2.6431533"	"-4.55"	"2.45912703"	"WFDC13"	"WAP four-disulfide core domain 13"
"A_23_P130573"	"1"	"0.037853"	"2.6422987"	"-4.55"	"1.5151174"	"CEACAM7"	"carcinoembryonic antigen related cell adhesion molecule 7"
"A_24_P201021"	"1"	"0.037906"	"2.6412615"	"-4.55"	"1.7720108"	"PSCA"	"prostate stem cell antigen"
"A_23_P376591"	"1"	"0.03828"	"2.6339838"	"-4.55"	"1.22596095"	"CLYBL"	"citrate lyase beta like"
"A_23_P430785"	"1"	"0.038422"	"2.6312354"	"-4.55"	"1.4739558"	"FRS2"	"fibroblast growth factor receptor substrate 2"
"A_23_P416305"	"1"	"0.038521"	"-2.629346"	"-4.55"	"-1.40040735"	"RPL27A"	"ribosomal protein L27a"
"A_23_P165162"	"1"	"0.038522"	"-2.6293124"	"-4.55"	"-1.74371631"	"HAMP"	"hepcidin antimicrobial peptide"
"A_24_P943017"	"1"	"0.038697"	"2.6259532"	"-4.55"	"2.41290509"	"CERS3"	"ceramide synthase 3"
"A_23_P129014"	"1"	"0.038747"	"-2.6249997"	"-4.55"	"-1.34847365"	"EFCAB11"	"EF-hand calcium binding domain 11"
"A_32_P20613"	"1"	"0.038788"	"2.6242243"	"-4.55"	"1.20373158"	""	""
"A_32_P207420"	"1"	"0.038812"	"-2.6237745"	"-4.55"	"-1.47582369"	""	""
"A_23_P161190"	"1"	"0.039045"	"-2.6193439"	"-4.55"	"-1.5364818"	"VIM"	"vimentin"
"A_24_P257224"	"1"	"0.039232"	"2.6158"	"-4.55"	"1.42248822"	"TPO"	"thyroid peroxidase"
"A_23_P122863"	"1"	"0.039579"	"2.6092919"	"-4.55"	"1.28222937"	"GRB10"	"growth factor receptor bound protein 10"
"A_24_P152845"	"1"	"0.039585"	"2.6091853"	"-4.55"	"1.72169306"	""	""
"A_32_P886243"	"1"	"0.039661"	"2.6077634"	"-4.55"	"1.19774375"	""	""
"A_23_P200067"	"1"	"0.039804"	"-2.6050925"	"-4.55"	"-1.2356173"	"EPHB2"	"EPH receptor B2"
"A_23_P8754"	"1"	"0.039896"	"2.6034007"	"-4.55"	"1.52618724"	"AASS"	"aminoadipate-semialdehyde synthase"
"A_32_P3705"	"1"	"0.040035"	"2.6008306"	"-4.55"	"2.27274828"	"ZNF740"	"zinc finger protein 740"
"A_24_P176493"	"1"	"0.040394"	"-2.594225"	"-4.55"	"-1.81511694"	"ATMIN"	"ATM interactor"
"A_24_P389608"	"1"	"0.0405"	"-2.5922882"	"-4.55"	"-1.24213738"	"PROSER2"	"proline and serine rich 2"
"A_23_P435029"	"1"	"0.040809"	"-2.5866811"	"-4.55"	"-1.73108299"	"HIST2H3A///HIST2H3C"	"histone cluster 2, H3a///histone cluster 2, H3c"
"A_23_P417383"	"1"	"0.040821"	"-2.5864724"	"-4.55"	"-1.17664259"	"ASPRV1"	"aspartic peptidase, retroviral-like 1"
"A_23_P52761"	"1"	"0.041094"	"-2.5815506"	"-4.55"	"-1.41113535"	"MMP7"	"matrix metallopeptidase 7"
"A_32_P40229"	"1"	"0.04137"	"2.5766178"	"-4.55"	"1.42665763"	""	""
"A_32_P122136"	"1"	"0.041434"	"-2.5754773"	"-4.55"	"-1.15644894"	""	""
"A_23_P416468"	"1"	"0.041561"	"-2.573224"	"-4.55"	"-1.63123175"	"PIF1"	"PIF1 5'-to-3' DNA helicase"
"A_24_P126294"	"1"	"0.041842"	"2.5682526"	"-4.55"	"1.4736526"	""	""
"A_32_P143245"	"1"	"0.041863"	"-2.5678922"	"-4.55"	"-1.6332758"	"CENPW"	"centromere protein W"
"A_32_P131401"	"1"	"0.041873"	"2.5676991"	"-4.55"	"1.47373799"	""	""
"A_24_P361480"	"1"	"0.04199"	"2.56566"	"-4.55"	"1.21866527"	"TANC2"	"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
"A_24_P778836"	"1"	"0.042205"	"-2.5618898"	"-4.55"	"-1.29874369"	"RSL1D1"	"ribosomal L1 domain containing 1"
"A_23_P57364"	"1"	"0.04223"	"2.561455"	"-4.55"	"1.91847097"	"TFF2"	"trefoil factor 2"
"A_23_P206169"	"1"	"0.042314"	"2.5599904"	"-4.55"	"1.93256785"	"TTBK2"	"tau tubulin kinase 2"
"A_24_P650482"	"1"	"0.042398"	"-2.5585383"	"-4.55"	"-1.15495819"	"PCBP1-AS1"	"PCBP1 antisense RNA 1"
"A_24_P34155"	"1"	"0.042426"	"2.5580425"	"-4.55"	"1.73883655"	"RUNX1"	"runt related transcription factor 1"
"A_24_P334361"	"1"	"0.042465"	"2.5573702"	"-4.55"	"1.31464778"	"DDX60"	"DEXD/H-box helicase 60"
"A_32_P187504"	"1"	"0.042497"	"-2.5568209"	"-4.55"	"-1.49946031"	""	""
"A_23_P218434"	"1"	"0.042586"	"2.555278"	"-4.55"	"1.4480319"	"ZNF226"	"zinc finger protein 226"
"A_23_P153301"	"1"	"0.042632"	"2.554472"	"-4.55"	"1.2720764"	"CEACAM5"	"carcinoembryonic antigen related cell adhesion molecule 5"
"A_32_P187704"	"1"	"0.042668"	"-2.5538651"	"-4.55"	"-1.69759507"	""	""
"A_23_P359630"	"1"	"0.042746"	"-2.5525203"	"-4.55"	"-1.68682451"	"PLGLB1"	"plasminogen-like B1"
"A_24_P29401"	"1"	"0.042896"	"-2.5499415"	"-4.55"	"-1.30172967"	"PIK3R1"	"phosphoinositide-3-kinase regulatory subunit 1"
"A_23_P104651"	"1"	"0.042904"	"-2.5498013"	"-4.55"	"-1.6336943"	"CDCA5"	"cell division cycle associated 5"
"A_24_P678741"	"1"	"0.042923"	"-2.5494768"	"-4.55"	"-1.3270002"	"KIAA1671"	"KIAA1671"
